HUNSTANWORTH (LITTLE NOOKTON),,,,,,,,,,
Grid ref,NY931466,Long,-2.108892,Lat,54.814208,Elevation,1290,ft,,
Station no,3553/8/3/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.9,4.5,4.5,4.5,4.05,4.15,3.15,6.4
February,,,2.3,3.4,3.75,4.8,3.8,4.65,0.55,2.95
March,,,0.5,2.25,2.45,2.4,2.3,3.15,1.35,2.8
April,,,3.88,0.9,0.55,1.3,0.49,1.95,3.6,1.8
May,,,3.15,5.95,3.05,1.05,1.8,4.35,0.8,2.05
June,,2,4.2,2.15,2.8,3.4,0.85,4.4,1.2,0.85
July,,,2.1,1.95,1.5,3.8,4,4.25,1.9,5.6
August,,4.3,4.9,8.75,1.7,10.1,6.4,3.3,0.65,4
September,,5.3,3.8,4.6,1.55,4,3.8,3.25,1.2,3.2
October,,5.9,2.45,6.65,2.6,2.65,3.2,2.7,3,11.3
November,,4.1,3.05,7.75,2,1.55,2.85,0.65,6.7,5.45
December,,4,1.85,5.1,5.9,5.3,4.1,6.05,7.8,4
Total,,,33.08,53.95,32.35,44.85,37.64,42.85,31.9,50.4
,,,,,,,,,,
1825,LITTLE NOOKTON ,NY9319746488,01/01/1952,31/12/1967,,,,,,
,,,,,,,,,,
1952 REMOVED -999 July - transcribed from -100,,,,,,,,,,
