PETERLEE (SHOTTON HALL),,,,,,,,,,
Grid ref,NZ415398,Long,-1.35676,Lat,54.751445,Elevation,406,ft,,
Station no,3530/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.62,3.32,4.81
February,,,,,,,,3.6,0.59,2.54
March,,,,,,,,2.98,0.88,2
April,,,,,,,0.44,1.7,1.93,0.78
May,,,,,,,1.45,3.39,0.55,1.73
June,,,,,,,2.19,3.23,2.23,0.39
July,,,,,,,3.84,2.96,1.77,4.81
August,,,,,,,3.28,3.4,0.23,2.59
September,,,,,,,3.77,1.51,0.83,2.04
October,,,,,,,1.71,1.38,1.32,8.29
November,,,,,,,1.61,0.85,3.52,3.15
December,,,,,,,1.06,3.56,3.46,2.27
Total,,,,,,,,30.18,20.63,35.4
,,,,,,,,,,
1953,SHOTTON HALL ,NZ4180339887,01/01/1958,31/12/1968,,,,,,
