"BOSTON - Wyncote, 126 LONDON ROAD (W.H.Wheeler)",,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF322424,Long,-0.033,Lat,52.963,Elevation,25,ft,,,,,,,,,,,,,,,
Station no,RR2360,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908
January,,1.22,0.74,0.97,1.74,1.80,0.92,1.47,1.66,3.07,0.96,1.91,1.05,2.03,3.32,0.57,0.80,1.36,1.57,0.81,2.44,0.78,0.97
February,,0.41,1.46,2.01,1.15,0.07,1.91,2.15,1.14,0.53,0.67,2.90,0.46,0.92,4.04,1.27,1.24,0.47,2.31,0.54,2.46,1.14,1.54
March,,1.17,2.10,2.17,1.49,1.54,0.85,0.34,0.45,1.96,1.98,1.82,1.37,0.73,0.38,1.50,0.90,2.81,1.47,1.62,1.76,1.46,2.17
April,,0.85,2.22,2.34,0.50,1.11,1.41,0.15,0.89,1.49,0.75,1.29,2.24,1.90,1.37,1.40,1.32,1.74,0.74,3.17,0.58,1.63,2.46
May,,1.60,0.72,3.16,2.04,1.88,1.25,1.22,2.15,1.87,0.69,1.08,2.41,2.52,1.23,1.49,3.04,3.26,1.32,1.35,1.24,3.08,1.70
June,,0.18,1.33,0.28,1.40,1.81,2.80,1.19,2.55,1.17,1.84,1.92,0.99,1.16,2.84,1.00,2.53,1.59,1.55,2.66,2.32,1.50,
July,3.06,1.11,4.77,1.69,1.60,2.69,2.03,3.65,3.48,1.95,0.73,1.78,0.78,1.21,0.70,1.74,1.35,2.53,3.05,1.25,0.36,1.61,
August,1.86,0.96,2.25,3.42,1.15,2.77,1.93,1.35,2.16,2.61,1.65,2.27,3.62,0.69,4.56,1.55,4.38,4.57,1.75,2.78,2.39,1.96,
September,1.04,1.47,1.39,1.87,0.41,0.59,3.03,0.54,0.74,0.48,3.67,3.12,0.27,2.18,0.40,1.06,1.46,3.03,3.13,2.32,0.87,0.58,
October,2.98,1.74,0.48,3.10,0.85,4.08,4.51,2.27,2.41,2.73,3.88,0.91,2.82,2.83,2.16,2.13,2.15,5.63,0.91,1.63,4.13,4.09,
November,2.84,1.52,2.15,0.59,2.86,2.25,0.90,2.63,2.41,2.12,0.83,1.58,1.60,1.08,1.82,1.67,1.24,1.59,0.57,2.45,2.84,2.12,
December,3.11,0.71,1.38,1.00,0.49,2.34,0.58,1.36,1.16,1.58,2.68,1.23,1.69,1.48,3.80,4.32,1.39,1.11,1.95,0.43,2.31,2.41,
Total,,12.94,20.99,22.60,15.68,22.93,22.12,18.32,21.20,21.56,20.33,21.81,19.30,18.73,26.62,19.70,21.80,29.69,20.32,21.01,23.70,22.36,
,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/021,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/144,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/082,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"# The gauge and observer moved from the Boston High Street site in 1886 - the month of the move is not known, end of June assumed for allocating readings to sites.",,,,,,,,,,,,,,,,,,,,,,,
"# Mr Wheeler had the London Road house built in 1884-86, so the gauge move in 1886 mentioned on the 1880s sheet seems to be to the new house.",,,,,,,,,,,,,,,,,,,,,,,
# The London Road house matches the directions to St Thomas's church on the 1900s sheet.,,,,,,,,,,,,,,,,,,,,,,,
