ACOCK'S GREEN [BIRMINGHAM],,,,,,,,,,,,,,,,,,,,
Grid ref,SP120834,Long,-1.8248645,Lat,52.448431,Elevation,425,ft,,,,,,,,,,,,
Station no,RR7814,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,1.95,2.43,0.9,0.8,3.07,,,,,,,,,
February,,,,,,,1.21,0.85,0.91,2.17,0.7,,,,,,,,,
March,,,,,,,3.26,1.98,2.96,3.32,1.74,,,,,,,,,
April,,,,,,,2.2,1.33,1.75,3.41,1.11,,,,,,,,,
May,,,,,,,6.31,1.96,1.03,3.92,2.54,,,,,,,,,
June,,,,,,,1.99,2.45,2.31,0.65,1.59,,,,,,,,,
July,,,,,,,3.49,1.28,5.58,2.15,2,,,,,,,,,
August,,,,,,,2.17,1.91,2.63,2.94,3.11,,,,,,,,,
September,,,,,,,3.38,2.45,1.84,1.56,0.91,,,,,,,,,
October,,,,,,,3.97,2.35,0.46,3.11,1.53,,,,,,,,,
November,,,,,,,2.08,2.49,4.95,1.27,3.49,,,,,,,,,
December,,,,,,,4.58,1.78,2.31,2.29,0.65,,,,,,,,,
Total,,,,,,,36.59,23.26,27.63,27.59,22.44,,,,,,,,,
