"OXFORD (OSNEY LOCK)",,,,,,,,,,,,
Grid ref,SP503059,Long,-1.272781,Lat,51.749545,,,,,,,
Station no,1050,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.85,1.45,0.90,1.16,2.08,3.77,1.38,3.21,3.42,3.05,,
February,3.24,0.55,1.30,2.05,1.30,0.33,2.67,2.29,0.14,1.82,,
March,3.39,2.14,0.56,2.28,1.23,0.53,1.55,1.16,3.11,0.93,,
April,2.43,1.53,1.78,0.31,0.55,1.66,0.41,1.06,1.93,0.61,,
May,2.13,1.90,1.72,1.80,4.19,0.27,1.55,1.88,0.79,2.47,,
June,1.21,1.31,1.55,3.43,3.47,2.22,1.88,3.12,0.75,3.46,,
July,1.24,0.29,2.89,2.02,0.18,2.45,2.89,2.09,2.47,4.04,,
August,3.26,4.73,2.44,3.01,0.35,3.85,4.38,2.67,2.09,1.84,,
September,3.72,1.43,1.77,2.50,1.22,2.37,3.79,2.95,0.21,4.06,,
October,0.95,3.52,2.14,1.86,1.44,1.73,1.93,2.83,1.81,5.30,,
November,4.87,3.55,1.52,3.96,1.08,0.74,1.86,3.05,1.59,4.01,,
December,1.41,2.31,0.63,1.85,2.88,2.96,2.23,3.05,4.68,4.00,,
Total,30.70,24.71,19.20,26.23,19.97,22.88,26.52,29.36,22.99,35.59,,
Calc annual,30.70,24.71,19.20,26.23,19.97,22.88,26.52,29.36,22.99,35.59,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
