PORT ST MARY (THE POINT),,,,,,,,,,,,
Grid ref,SC209671,Long,-4.738522,Lat,54.068612,,,,,,,
Station no,4414/0/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,3.95,3.24,3.70,2.56,4.31,2.55,4.02,,
February,,,,3.82,2.70,1.01,2.98,5.12,0.97,2.77,,
March,,,,3.29,1.69,0.77,2.85,1.33,2.41,1.68,,
April,,,2.15,0.49,2.02,1.09,0.88,0.81,2.02,2.36,,
May,,,2.83,2.04,2.21,1.18,2.43,2.54,1.10,2.17,,
June,,,2.21,1.43,3.96,1.98,1.66,5.20,1.83,1.54,,
July,,,3.94,2.98,1.80,3.02,2.97,2.58,1.33,4.05,,
August,,,3.83,2.20,2.52,6.21,3.09,3.77,0.31,2.38,,
September,,,3.55,3.76,1.88,3.06,5.52,4.06,1.71,3.48,,
October,,,2.99,7.42,1.71,2.77,4.71,2.09,4.11,5.99,,
November,,,3.74,5.30,2.62,1.25,2.56,2.21,6.23,5.42,,
December,,,1.57,3.89,5.16,3.56,3.32,5.31,5.29,3.16,,
Total,,,,40.57,31.51,29.60,35.53,39.33,29.86,39.02,,
Calc annual,0.00,0.00,26.81,40.57,31.51,29.60,35.53,39.33,29.86,39.02,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
