HECKFIELD (PARK CORNER),,,,,,,,,,,,
Grid ref,SU715627,Long,-0.974503,Lat,51.358880,,,,,,,
Station no,763,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.15,2.22,1.01,1.37,3.15,3.65,2.02,3.16,2.99,3.16,,
February,5.45,0.74,1.42,2.46,1.39,0.31,2.86,3.09,0.35,2.31,,
March,4.15,2.51,0.47,2.38,1.03,0.56,1.47,1.50,2.74,1.52,,
April,2.74,1.65,2.72,0.27,0.24,1.61,0.25,1.23,2.23,0.58,,
May,2.65,3.31,1.98,2.43,3.43,0.30,1.31,2.12,0.57,1.82,,
June,1.38,1.58,1.78,3.62,2.51,2.44,1.56,3.70,0.58,1.19,,
July,1.08,0.48,3.79,2.93,0.34,3.72,4.82,1.33,2.31,2.36,,
August,4.92,3.27,1.93,3.16,0.63,5.57,2.92,4.24,1.70,3.61,,
September,3.30,2.78,2.29,2.71,1.50,3.50,3.15,3.32,0.02,3.70,,
October,0.87,3.60,3.31,2.25,3.39,2.17,2.22,2.15,2.78,7.54,,
November,6.79,3.39,1.16,5.10,1.78,0.76,2.71,2.49,2.89,3.91,,
December,2.21,2.60,0.75,2.81,2.61,3.86,2.47,2.96,4.00,3.29,,
Total,38.69,28.13,22.61,31.49,22.00,28.45,27.76,31.29,23.16,34.99,,
Calc annual,38.69,28.13,22.61,31.49,22.00,28.45,27.76,31.29,23.16,34.99,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
