HECKFIELD PARK CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU715627,Long,-0.97545,Lat,51.3589,Elevation,257,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,
January,,1.68,4.55,2.78,1.39,3.6,0.9,3.96,1.01,3.07,0.47,1.23,1.22,1.71,2.59,2.84,3.3,,0.53,0.7,2.36,1.32,0.61,1.17,2.11,2.24,0.47,2.05,0.77,2.53,2.5,1.11,0.68,2.6,2.44,0.56,3.43,0.81,1.32,0.9,1.91,0.82,3.96,3.16,0.59,3.67,1.1,1.27,3.71,3.97,2.24,3.07,3.01,1.49,2.6,2.11,2.79,1.64,3.58,1.26,3.31,1.4,1.98,1.82,1.65,0.28,4.08,5.12,2.26,3.77,2.84,2.46,2.84,5.13,1.68,1.41,1.85,1.73,5.1,1.27,0.76,3.15,2.22,1.01,1.37,3.15,3.65,2.02,3.16,2.99,3.16,,,,,,,,,
February,,1.07,1.61,1.36,1.59,2.15,2.2,1.3,1.58,3.13,3.29,2.01,1.4,3.89,1.66,2.51,0.73,,0.97,1.68,0.8,0,1.06,2.87,1.64,0.16,0.43,2.93,1.27,2.59,3.94,1.31,1.02,1.14,2.88,0.41,1.69,1.26,1.2,0.39,2.7,1.3,1.82,0.97,2.97,3.98,4.35,1,1.32,2.67,0.59,0.47,2.12,3.56,0.4,2.96,1.69,3.76,1.57,0.66,0.8,1.53,0.11,4.31,0.11,2.41,1.92,4.39,0.51,1.12,2.12,2.08,0.64,1.01,1.14,1.66,2.23,1.51,1.11,1.25,4.28,5.45,0.74,1.42,2.46,1.39,0.31,2.86,3.09,0.35,2.31,,,,,,,,,
March,,1.08,1.56,2.26,0.42,0.63,3.19,2.12,0.99,0.5,0.97,1.42,0.97,0.85,1.43,1.83,1.27,,2.84,1.57,1.15,1.23,0.74,0.22,1.14,1.22,2.84,3.61,0.92,0.7,1.12,1.65,1.87,4.53,0.83,3.91,1.49,0.85,2.73,3.32,0.85,1.54,3.62,2.24,4.15,0.84,4.34,2.09,0.95,4.39,1.51,1.12,1.87,2.25,0.75,0.43,0.61,2.63,2.13,0.05,0.89,0.26,1.63,2.23,2.26,0.45,2.14,3.62,0.26,1.26,2.66,3.23,2.1,0.47,0.21,0.61,1.13,4.96,0.78,1.64,0.86,4.15,2.51,0.47,2.38,1.03,0.56,1.47,1.5,2.74,1.52,,,,,,,,,
April,,2.89,1.87,0.64,1.65,1.44,1.88,2.81,2.61,3.27,1.52,0.73,2.96,1.04,1.9,1.6,1.45,,1.97,2.16,1.74,0.8,0.78,0.03,1.9,1.38,0.39,1.25,1.37,2.48,0.94,2.1,0.99,2.34,1.16,1.55,0.58,3.54,3.52,1.64,2.06,1.37,0.06,2.91,0.83,0.96,0.84,1.77,3.65,1.27,3.43,0.75,3.07,3,2.88,1.88,2.4,1.61,1.51,0.86,2.21,2.84,2.39,1.16,1.23,3.31,1.59,2.21,0.08,2.64,1.19,0.95,1.12,0.7,1.29,1.19,1.51,1.97,1.73,1.81,2.73,2.74,1.65,2.72,0.27,0.24,1.61,0.25,1.23,2.23,0.58,,,,,,,,,
May,,0.3,2.75,1.42,1.05,1.47,0.47,2.15,2.79,3.41,0.43,0.92,1.32,1.8,0.49,2.49,3.79,,1.5,2.73,2.08,2.65,0.88,0.88,1.49,0.46,0.19,0.85,2.3,1.58,1.16,0.72,2.36,2.26,2.87,1.86,2.06,1.47,1.38,1.56,2.08,2.54,1.65,2.4,1.48,3.82,2.32,1.24,1.31,0.25,1.38,1.55,1.08,2.71,3.1,3.79,2.1,1,2.49,1.05,1.78,3.5,5.09,2,0.63,0.93,0.85,3.52,1.47,1.22,1.12,1.41,2.89,2.12,0.58,1.68,2.74,1.66,2.86,2.26,1.45,2.65,3.31,1.98,2.43,3.43,0.3,1.31,2.12,0.57,1.82,,,,,,,,,
June,,3.43,2.62,1.99,1.18,2.79,2.06,1.91,1.4,4.51,2.38,1.89,2.17,2.51,2.4,2.05,0.87,,1.84,1.1,2.16,0.95,1.54,0.42,2.19,0.54,3.13,1.74,1.72,1.23,2.62,2.27,2.97,5.31,0.79,4.22,2.49,1.94,0.91,4.95,3.79,1.48,3.14,0.52,1.68,1.38,2.01,3.71,0.79,0.91,1.86,0.31,1.44,0.46,2.69,0.02,3.14,3.79,2.32,1.36,0.36,1.22,1.24,3.47,1.42,3.51,4.17,1.45,0.72,1.18,0.92,1.79,0.58,1.16,1.88,2.31,2.65,1.85,2.34,0.61,1.27,1.38,1.58,1.78,3.62,2.51,2.44,1.56,3.7,0.58,1.19,,,,,,,,,
July,,3.37,3.28,1.72,0.91,6.12,1.07,2.92,1.1,2.9,5.35,1.37,1.59,3.23,2.51,0.32,1.77,0.83,4.98,2.17,3.5,2.75,2.26,2.41,3.8,3.66,0.61,1.35,0.48,0.43,0.45,1.87,1.44,3.12,1.81,0.71,0.5,1.31,1.6,2.13,2.18,0.25,1.48,1.04,2.37,4.66,1.33,5.6,5.51,1.98,5.21,0.19,4.7,1.28,3.53,3.67,1.96,3.51,1.67,1.1,2.38,4.08,1.71,1.16,2.27,0.73,3.41,0.93,2.09,3.22,2.42,4.96,1.01,1.95,2.23,3.06,2.68,2.33,1.07,1.26,4.61,1.08,0.48,3.79,2.93,0.34,3.72,4.82,1.33,2.31,2.36,,,,,,,,,
August,,0.58,2.02,2.04,1.4,1.42,3.26,1.98,4.3,5.31,1.38,5.04,1.64,0.71,0.8,0.68,0.82,1.47,1.34,2.19,2.82,3.83,3.58,1.37,2.98,1.86,2.4,2.56,1,0.49,1.86,2.22,3.55,3.28,2.2,2.96,1.02,1.86,2.91,1.88,2.11,0.8,5.13,1.1,1.45,2.16,5.24,4.91,1.35,2.45,1.48,1.72,3.35,1.97,2.38,3.13,0.66,2.61,2.31,0.91,2.91,4.9,2.55,0.33,3.38,2.9,1.26,1.03,2.11,2.16,0.13,4.31,1.62,1.4,1.27,1.27,3.69,0.49,2.76,1.43,3.8,4.92,3.27,1.93,3.16,0.63,5.57,2.92,4.24,1.7,3.61,,,,,,,,,
September,,4.87,1.56,2.71,3.1,1.93,3.96,1.29,0.78,2.36,4.34,1.94,2.53,2.9,1.85,4.2,1.64,1.28,1.31,1.25,1.14,1.45,3.79,0.92,2.14,1.86,4.97,1.78,0.85,1.85,0.53,1.41,1.58,2.12,1.41,1.98,1.17,0.56,1.59,2.8,0.4,1.26,2.71,1.58,0.88,3.12,1.48,1.81,6.13,2.81,1.26,1.52,1.57,2.07,3.63,2.44,0.57,5.7,1.66,0.19,3.18,1.75,2.17,4.22,2.01,3.39,3.11,2.33,1.08,1.15,1.27,0.36,1.2,1.41,2.56,1.91,3.38,0.97,2.07,1.58,3.04,3.3,2.78,2.29,2.71,1.5,3.5,3.15,3.32,0.02,3.7,,,,,,,,,
October,,1.1,3.9,2.48,3.69,6.86,1.82,1.74,2.89,0.84,4.73,1.87,5.65,1.64,0.89,3.43,3.76,1.29,1.35,3.05,0.99,7.45,3.91,3.03,3.88,3.07,2.46,0.98,3.92,2.08,2.37,2.03,1.33,8.16,1.54,1.64,4.85,4.77,1.72,4.36,4.18,2.45,2.57,4.62,1.89,3.78,4.05,4.07,1.9,0.83,2.56,1.58,0.81,5.28,3.42,2.88,2.51,1.29,3.98,3.32,1.14,0.56,3.75,1.63,1.29,3.36,1.73,3.03,2.54,4.83,3,1.46,3.48,3.8,3.62,3.58,1.08,0.67,2.61,6.59,0.5,0.87,3.6,3.31,2.25,3.39,2.17,2.22,2.15,2.78,7.54,,,,,,,,,
