WRANGATON-MOORHAVEN-HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX666573,Long,-3.878381,Lat,50.400396,Elevation,607,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946
January,,,,,,7.01,2.87,4.42,2.14,9.5,9.47,5.2,3.58,6.56,8.91,2.57,11.66,2.87,4,3.27,7.81,3.1,7.63,11.25,3.37,5.6,3.58,2.95,5.2,6.63,7.87,8.86,7.77,4.89,8.25,8.05,9.84,6.3,11.56,5.56,9.02,3.58,6.69,1.99,4.05,1.43,6.43,8.72,8.98,10.42,4.74,5.91,6.57,9.85,6.35,3.7,6.59
February,,,,,,0,0.82,6.32,3.14,6.31,9.85,1.75,2.7,3.1,8.32,1.66,7.44,3.59,4.42,1.06,9.07,5.88,6.93,2.17,6.55,8.72,8.62,1.75,3.51,5.08,1.8,0.3,6.73,11.79,2.79,7.08,4.95,4.3,4.43,5.41,2.09,4.81,0.05,5.47,0.09,4.79,4.6,11.87,2.68,4.08,8.19,7.81,0.56,2.33,1.67,5.8,5.87
March,,,,,,4.73,7.1,7.35,2.83,1.11,3.07,4.29,4.06,6.84,3.27,7.87,2.99,2.33,5.73,9.13,1.57,5.62,9.38,7.12,10.21,1.6,3.81,3.74,2.47,6.67,4.49,4.18,5.52,3.46,3.12,0.79,1.81,5.33,6.15,0.96,3.65,2.94,2.78,4.43,4.74,2.12,6.11,6.56,0.92,1.88,5.32,6.08,5.18,1.71,0.15,2.2,3.14
April,,,,,,3.85,0.64,6.82,2.6,4.74,2.63,6.8,3.25,2.42,2.86,3.8,1.53,8.45,4.03,2.94,3.59,3.64,0.4,5.66,2.85,2.46,1.55,2.4,1.8,2.65,4.74,1.28,5.88,6.12,5.14,5.19,2.93,3.69,3.67,1.01,4.61,4.08,4.36,3.21,3.27,6.14,3.55,5.33,0.23,3.5,3.45,1.31,1.89,1.4,3.41,0.4,2.5
May,,,,,,2.19,0.06,2.51,4.54,3,2.62,2.01,1.97,2.57,4.38,1.21,6.39,5.33,3.17,1.9,3.97,1.47,2.56,4.08,2.91,4.76,2.65,2.64,1.29,2,2.79,4.57,2.59,3.76,6.37,5.78,2.59,0.67,1.61,4.67,3.79,2.88,4.89,1.93,1.43,1.75,1.1,3.87,4.74,0.91,1.16,3.95,6.93,5.16,0.66,3.9,6.63
June,,,,,,1.42,2.69,4.11,2.49,2.58,5.78,3.26,4.35,1.48,1.69,4.26,2.41,5.83,1.45,3.7,2.28,4.13,7.76,1.9,1.16,3.07,3.47,3.43,1.45,0.89,2.89,0.19,1.88,0.72,2.17,0,5.05,3.85,3.2,4.14,1.22,5.78,3.96,2,1.6,6.58,1.51,1.5,2.09,5.61,1.01,3.27,0.42,2.54,4.11,5.3,
July,,,,,,4.97,2.26,0.85,0.75,3.61,1.26,2.9,3.7,4.9,6.04,1.46,2.03,2.53,4.02,5.99,5.57,1.36,3.36,0.99,6.44,6.67,2.1,2.78,4.98,2.86,6.01,2.07,6.98,1.77,5.97,5.12,1.62,5.44,2.77,4.08,2.71,8.54,3.42,3.75,0.87,0.69,10.02,3.74,4.64,9.24,3.56,2.2,2.42,3.71,5.47,3.4,
August,,,,,,4.96,2.27,6.76,4.36,2.21,4.16,3.33,3.53,5.65,3.78,6.79,3.7,4.15,6.46,3.06,6.1,2.45,13.05,2.03,3.65,2.41,4.6,5.93,2.6,3.94,2.28,4.9,5.84,4.77,5.08,5.57,2.52,5.95,3.3,4.79,5.21,5.04,2.54,1.89,5.27,2.79,1.24,1.78,4.41,4.99,0.22,6.97,5.61,4.51,3.83,3.4,
September,,,,,,0.57,9.53,4.47,2.17,3.21,2.79,5.56,2.7,5.24,4.13,2.76,1.26,3.06,4.22,2.62,0.34,2.72,1.8,4.96,3.46,1.54,2.54,3.38,7.25,2.97,3.14,1.69,5.43,5.42,5.4,5.33,1.31,8.7,2.34,0.71,5.46,1.37,6.08,2.28,5.29,6.09,5.54,4.3,2.96,0.86,3.13,0.41,5.13,5.63,2.4,4.2,
October,,,,,,5.92,5.18,1.92,6.92,4.01,3.97,3.22,4.79,11.38,4.01,3.37,6.98,9.18,2.09,13.25,8.64,6.5,8.03,3.68,4.95,6.75,8.5,7.76,3.53,1.96,4.37,2.52,3.21,10.69,10.22,7.22,3.84,5.14,9.82,7.42,5.23,1.67,9.21,4.08,2.92,4.85,2.27,3.93,7.46,7.47,5.55,2.49,5.24,5.26,6.08,6.3,
