WRANGATON-MOORHAVEN-HOSPITAL-(NEW-GAUGE),,,,,,,,,,,,,,,
Grid ref,SX666575,Long,-3.878452,Lat,50.402194,Elevation,650,ft,,,,,,,
Station no,1676,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.86,12.41,2.29,2.37,7.82,6.49,1.58,3.6,8.12,6.37,7.2,7.9,9.57,6.38
February,,3.57,3.2,3.06,9.28,6.67,1.08,2.69,6.75,5.9,0.65,8.63,6.25,0.45,6.6
March,,12.83,3.16,2.21,4.76,8.14,6.92,1.05,5.1,2.38,2.13,7.37,3.19,8.79,5.02
April,,5.33,3.94,2.68,3.62,3.74,4.75,4.02,1.45,2.69,1.54,0.81,1.24,6.92,5.02
May,,2.8,3.15,3.98,3.21,3.48,2.84,5.48,3.65,5.54,1.81,3.52,4.6,1.63,2.5
June,,4.85,3.34,1.04,1.63,1.9,2.15,3.87,5.29,4.84,3.69,2.21,4.55,2.57,2.99
July,2.87,3.58,3.01,2.63,7.12,1.75,2.34,6.4,7.85,1.65,4.96,6.37,4.61,1.6,7.84
August,6.34,1.59,5.45,3.88,7.07,9.18,5.81,4.12,4.02,0.65,5.07,6.19,8.16,2.58,6.9
September,9.68,3.41,4.06,5.01,9.55,6.67,6.16,5,7.42,2.95,11,6.47,9.28,0.23,9.91
October,3.07,2.04,5.38,10.45,3.24,1.63,7.44,4.21,7.6,4.09,3.27,5.65,6.57,6.77,11.44
November,9.02,5.74,3.7,8.19,11.06,10.2,6.96,4.38,11.43,6.13,2.14,3.36,5.06,10.78,11.6
December,7.74,5.32,9.63,4.22,6.58,6.37,5.98,1.14,6.45,9.51,8.8,5.97,7.3,14.93,7.31
Total,,56.92,60.43,49.64,69.49,67.55,58.92,43.94,70.61,54.45,51.43,63.75,68.71,66.82,83.51
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1946 June 6th New gauge installed,,,,,,,,,,,,,,,
