"CASTLETOWN, WEST GREENLAND FARM",,,,,,,,,,
Grid ref,ND 22877 67279,Long,-3.328239,Lat,58.586636,Elevation,150,ft,,
Station no,RR8929,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.94,1.68,2.94,2.63,2.2,3,3.8,
February,,,2.64,1.6,3.08,3,1.7,0.7,2.59,
March,,,3.89,3.16,3.43,3.3,2,2.71,1.5,
April,,,3.08,1.44,1.37,2.38,2.9,3,1.41,
May,,,2.9,2.03,2.4,0.64,2.1,1.5,1.87,
June,,,1.48,-999,0.69,-999,3.5,3.86,3.5,
July,,,1.71,-999,3.9,-999,1.73,0.65,6.4,
August,,,5.76,0.96,2,1.14,1.3,2.5,6.3,
September,,,1.41,2.41,2.95,4,2.5,5,5.13,
October,,,3.79,1.93,2.59,2.1,4.09,4.3,3.24,
November,,,4.51,4.15,5.5,3.69,3.5,6.15,3.75,
December,,,4.35,4.55,2.91,8.38,4.68,2.82,4.2,
Total,,,37.46,26.33,33.76,34.2,32.2,36.19,43.69,
,,,,,,,,,,
BR 1913 P Jun Jul Bracketed -999 for Total,,,,,,,,,,
BR 1915 P Jun Jul Bracketed -999 for Total,,,,,,,,,,
,,,,,,,,,,
Station no,RR8929,,,,,,,,,
Midas,,,,,,,,,,
Hyd stn,,,,,,,,,,
