HALIFAX BERMERSIDE OBSERVATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE089229,Long,-1.866666,Lat,53.702459,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,3.01,5.62,1.49,5.4,4.04,1.05,0.46,0.31,4.4,6.25,6.57,2.34,6.16,2.11,1.59,1.72,5.38,2.57,2.81,0.93,3.78,4.1,1.01,2.72,1.37,6,4.52,2.32,2.19,3.5,3.22,,,,,
February,,,,,1.37,1.6,4.2,4.23,1.02,4,3.42,5.4,2.99,1.83,3.3,3.59,0.87,0.67,1.32,2.12,0.84,0.19,2.74,3.89,6.51,0.59,1.44,3.18,2.84,1.71,5.17,1.47,1.31,3.42,4.63,,,,,
March,,,,2.82,4.13,0.75,5.14,3.77,1.99,2.18,2.98,5.87,2.98,1.13,2.06,2.09,3.44,2.05,3.96,2.9,2.45,2.14,1.29,0.97,3.16,2.73,4.32,4.42,1.42,2.24,1.09,3.47,1.46,4.96,2.25,,,,,
April,,,,0.35,1.93,1.22,3.03,3.62,1.45,2.71,2.31,1.39,5.26,2.94,1.94,2.02,3.13,1.04,2.42,3.37,1.51,2.43,1.44,1.08,3.03,2.35,1.3,2.52,2.93,2.64,1.59,1.89,1.88,1.52,1.85,,,,,
May,,,,1.97,1.47,1.65,1.3,3.72,5.33,1.58,2.92,2.25,1.39,0.9,1.83,2.48,5.54,1.86,0.7,2.44,2.89,2.84,3.57,1.95,1.63,0.96,0.39,1.13,2.76,2.61,1.34,1.26,2.74,3.57,2.73,,,,,
June,,,,1.37,1.24,3.29,3.3,2.32,3.27,5.75,3.48,2.18,4.89,3.92,1.1,4.19,1.5,0.31,2.23,0.71,2.86,2.09,3.82,2.19,2.98,4.87,3.51,3.52,2.27,1.93,2.85,1.15,1.31,1.07,0.74,,,,,
July,,,,2.67,3.55,6.04,1.64,3.18,1.19,4.72,5.37,4.61,3.27,3.09,3.69,1.19,6.11,1.9,4.35,2.57,2.05,2.24,1.87,2.54,3.21,6.4,1.38,0.74,0.72,1.59,3.38,2.6,2.06,2.53,2.69,,,,,
August,,,,3.34,3.07,2.63,3.32,4.12,5.69,5.19,1.76,5.51,1.92,1.74,1.5,1.01,0.95,1.8,2.86,3.63,4.57,5.05,3.08,2,3.17,2.58,1.47,2.74,3.72,1.75,6.05,2.03,4.02,3.04,4.83,,,,,
September,,,,2.46,2.74,4.52,5.05,4.23,4.01,2.06,4.06,2.9,2.03,6.58,2.1,3.88,2.21,4.15,0.91,1.72,1.09,2.45,2.62,2,0.38,1.42,6.13,3.22,0.38,6.44,0.75,0.89,1.93,4.47,0.94,,,,,
October,,,,3.29,3.95,3.82,4.58,5.21,3.91,1.88,5.54,4.52,4.23,4.43,2.23,7.46,5.23,2.82,1.41,4.78,1.51,4.49,7.39,2.86,5.08,4.04,4.96,1.84,4.47,3.39,4.25,2.33,3.24,9.61,0.87,,,,,
November,,,,3.4,3.76,5.29,4.47,4.45,2.91,1.64,3.95,5.09,6.38,4.08,1.64,2.52,2.83,2.58,8.64,1.19,3.65,3.04,2.31,1.85,1.86,3.88,1.4,3.63,2.81,1.38,3.55,5.09,1.92,2.05,1.93,,,,,
December,,,,0.97,3.19,1.76,9.17,4.75,3.3,2.72,5.73,4.24,5.18,1.75,4.75,1.66,5.53,2.98,2.37,2.46,0.72,7.69,1.31,3.83,2.61,3.89,4.05,4.38,3.32,3.03,4.41,6.4,3.15,1.78,1.74,,,,,
Total,,,,,33.41,38.19,46.69,49,38.11,35.48,41.98,44.27,44.92,38.64,32.71,34.43,43.5,24.27,32.76,29.61,29.52,37.22,34.25,26.09,37.4,37.81,31.36,34.04,29.01,34.71,38.95,30.9,27.21,41.52,28.42,,,,,
