"HARDINGHAM HALL",,,,,,,,,,,,
Grid ref,TG047037,Long,1.020671,Lat,52.592532,,,,,,,
Station no,1410/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.70,2.45,1.30,1.80,2.35,3.60,2.14,2.72,3.21,3.42,,
February,2.73,1.11,1.39,2.41,2.37,1.53,3.13,3.57,0.26,2.10,,
March,3.67,2.88,0.67,2.29,1.81,0.96,2.37,1.07,1.87,1.00,,
April,3.42,1.32,2.58,0.72,0.55,1.11,0.55,1.17,2.31,0.80,,
May,2.73,2.70,1.52,1.94,2.50,0.85,1.61,2.78,0.47,0.68,,
June,1.28,1.99,2.52,2.87,2.57,3.51,2.67,3.09,1.21,1.45,,
July,2.12,1.48,2.57,3.33,0.21,2.99,2.92,3.82,2.23,2.79,,
August,3.29,2.14,2.67,5.05,0.79,5.34,2.23,2.68,1.85,2.97,,
September,2.84,2.66,1.55,2.08,1.59,1.92,3.94,2.29,0.07,3.28,,
October,0.75,3.15,2.42,2.84,4.04,2.68,1.56,1.86,2.38,4.74,,
November,3.81,4.26,1.61,3.69,1.05,1.08,1.51,1.64,1.94,3.87,,
December,1.58,2.51,1.11,2.60,1.86,2.30,2.50,2.91,3.64,3.92,,
Total,31.92,28.65,21.91,31.62,21.69,27.87,27.13,29.60,21.44,31.02,,
Calc annual,31.92,28.65,21.91,31.62,21.69,27.87,27.13,29.60,21.44,31.02,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
