"NORWICH (CITY CEMETERY)",,,,,,,,,,,,
Grid ref,TG212086,Long,1.267131,Lat,52.630053,,,,,,,
Station no,1417,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.05,2.86,1.46,1.61,1.85,3.10,1.82,2.43,3.20,3.94,,
February,3.12,1.07,1.60,2.21,2.21,2.11,2.34,3.71,0.18,1.77,,
March,3.56,2.61,0.59,2.42,1.87,0.84,2.02,1.36,1.35,0.99,,
April,3.44,1.62,2.22,0.55,0.43,0.93,0.21,1.06,1.59,1.19,,
May,1.72,1.36,1.25,2.06,2.05,0.80,1.19,3.28,0.38,0.36,,
June,0.97,1.39,2.18,2.22,2.58,2.33,2.23,2.57,1.13,1.20,,
July,2.22,2.04,2.70,2.71,0.28,2.85,2.58,2.83,1.60,3.43,,
August,3.13,2.13,2.67,5.29,0.88,5.99,2.33,2.43,1.34,3.44,,
September,2.09,2.68,1.78,1.77,1.94,1.43,3.51,1.92,0.05,3.56,,
October,0.76,2.51,2.26,2.17,4.66,2.27,1.44,1.89,1.74,4.35,,
November,3.53,4.18,1.37,4.51,0.84,1.43,2.20,1.21,2.43,2.98,,
December,1.29,2.60,1.03,1.84,1.82,1.98,2.50,2.66,3.01,3.80,,
Total,28.88,27.05,21.11,29.36,21.41,26.06,24.37,27.35,18.00,31.01,,
Calc annual,28.88,27.05,21.11,29.36,21.41,26.06,24.37,27.35,18.00,31.01,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
