MIDDLESBROUGH - George Turnbull,,,,,,,,,,
Grid ref,NZ505207,Long,-1.220,Lat,54.579,Elevation,14,ft,,
Station no,RR6536,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,1.10,1.92,,,,,,,
February,,0.62,0.35,,,,,,,
March,,0.84,0.78,,,,,,,
April,,0.51,0.26,,,,,,,
May,,1.43,0.88,,,,,,,
June,,,0.67,,,,,,,
July,,2.66,1.54,,,,,,,
August,,2.51,1.39,,,,,,,
September,,2.02,1.08,,,,,,,
October,,3.81,2.03,,,,,,,
November,,3.22,1.45,,,,,,,
December,,1.46,0.56,,,,,,,
Total,,,12.91,,,,,,,
,,,,,,,,,,
TYRain_1840-1849_E_pt1/111,,,,,,,,,,
,,,,,,,,,,
"# The grid reference used is Middlesbrough Dock, which the observer was building at the time of the readings,",,,,,,,,,,
"# and fits the latitude given on the sheet, but may not be the correct place of the observations.",,,,,,,,,,
