BURTON-CHESHIRE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ313744,Long,-3.0313801,Lat,53.262131,Elevation,210,ft.,,,,,,,,,,,,
Station no,2797/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,1.81,1.98,1.23,1.48,1.09,5.08,1.98,2.67,4.45,2.68,3.19,,2.98,2.78,,2.86,1.75,5.44,,
February,1.3,0.06,2.67,0.16,2.6,2.42,4.3,0.31,2.19,2.62,2.44,1.59,0.71,1.17,,3.29,1.11,1.04,,
March,0.26,1.68,2.18,1.74,0.76,2.19,2.19,0.85,1.32,1.89,2,1.52,0.58,0.65,0.59,0.8,4.82,0.69,,
April,2.12,2.2,0.62,1.71,1.99,1.65,2.12,0.12,1.79,1.93,0.92,0.71,0.72,0.91,0.98,0.63,1.93,1.14,,
May,2.75,3.9,1.19,1.47,2.16,1.14,2.37,2.05,1.87,2.29,1.15,2.81,,1.31,3.4,2.34,3.33,0.53,,
June,4.65,0.49,1.73,1.14,3.45,4.35,0.86,2.64,1.36,0.75,0.5,0.21,,1.33,1.86,2.94,2.05,3.4,,
July,2.26,4.33,1.38,0.91,1.73,2.48,1.76,2.68,4.98,2.92,1.56,2.32,,1.5,3.45,2.51,3.45,1.8,,
August,5.58,1.45,1.32,2.72,1.17,1.46,1.02,3.82,1.53,0.5,2.61,2.22,2.18,2.33,2.69,4.58,0.26,2.05,,
September,2.97,2.81,0.67,1.21,4.93,2.97,2.03,1.19,0.53,2.53,0.37,1.28,4.15,3.62,1.06,2.85,1.6,1.21,,
October,1.03,5.08,3.15,3.09,3.49,1.47,2.43,2.49,3.42,2.69,2.49,,4.1,4.02,3.98,0.7,0.6,1.86,,
November,3.15,2.38,1.32,2.62,3.65,2.3,1.73,2.53,3.49,3.57,2.21,0.6,2.97,5.33,0.27,4.04,3.11,1.33,,
December,0.91,1.03,0.6,4.64,3.15,2.33,2.38,2.78,1.66,1.45,1.05,,0.98,1.7,2.35,3.37,1.9,2.67,,
Total,28.79,27.39,18.06,22.89,30.17,29.84,25.17,24.13,28.59,25.82,20.49,,,26.65,,30.91,25.91,23.16,,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Burton. Altitudes match as do relationships to church and station,,,,,,,,,,,,,,,,,,,,
