LYDFORD-NASEBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX523860,Long,-4.08994,Lat,50.65498,Elevation,875,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,4.02,9.48,5.16,8.06,4.89,6.34,1.45,7.61,11.73,8.62,8.56,3.58,3.59,,,,,,,,,
February,,,,,,,,,,1.2,2.02,4.41,0.03,5.41,0.35,5.26,5.82,9.98,2.6,3.91,6.34,7.52,,,,,,,,,
March,,,,,,,,,,0.8,3.16,1.31,3.58,6.9,3.88,1.47,4.76,6.29,0.91,2.49,4.53,5.45,,,,,,,,,
April,,,,,,,,,,1.14,4.2,4.72,3.84,2.98,4.46,6.83,2.45,4.15,0.22,5.33,4.56,1.25,,,,,,,,,
May,,,,,,,,,,5.17,2.75,3.97,5.33,2.86,3.64,3.13,0.83,3.23,4.35,1.4,1.34,3.29,,,,,,,,,
June,,,,,,,,,,3.29,1.67,4.23,4.14,2.66,3.27,5.37,4.73,1.83,2.66,3.68,0.95,2.37,,,,,,,,,
July,,,,,,,,,,3.04,4.33,6.74,4.49,4.23,1.11,1.46,9.78,3.11,4.53,10.31,7.34,2.13,,,,,,,,,
August,,,,,,,,,,6.07,6.49,9.14,1.69,2.62,5.57,2.6,0.95,1.42,6.44,3.96,0.46,7.65,,,,,,,,,
September,,,,,,,,,,1.21,6.58,3.6,6.92,1.83,5.21,6.36,3.45,3.94,2.56,2.18,3.26,0.6,,,,,,,,,
October,,,,,,,,,,10.43,7.67,1.4,11.24,5.79,5.66,8.53,2.24,3.48,6.87,4.97,4.62,2.97,,,,,,,,,
November,,,,,,,,,,17.39,8.29,10.44,3.93,1.45,2.61,7.87,5.83,2.66,9.16,11.75,11.28,4.25,,,,,,,,,
December,,,,,,,,,,13.24,5.56,3.24,4.53,2.57,17.4,6.09,7.63,4.74,7,4.06,5.58,4.17,,,,,,,,,
Total,,,,,,,,,,67,62.2,58.36,57.78,44.19,59.5,56.42,56.08,56.56,55.92,62.6,53.84,45.24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naseby found on OS map but elevation on sheet of 950ft is 0.25 miles E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
