CROSBY (MERCHANT TAYLORS SCHOOL),,,,,,,,,,,,,,,,,,,,
Grid ref,SJ321990,Long,-3.0246831,Lat,53.483319,Elevation,30,ft,,,,,,,,,,,,
Station no,2806/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.8,1.91,3.69,2.12,5.08,1.86,0.66,2.05,,1.05,2.2,2.18,3.18,1.75,2.37,2.87,4.59
February,,,,1.6,2.66,4.14,0.99,1.61,0.75,3.41,2.3,,1.27,3.26,1.91,0.56,1.75,3.63,0.2,1.79
March,,,,0.65,0.86,0.78,4.59,1.07,1.6,1.02,4.3,,1.06,1.84,1.69,1.29,2,1.28,1.14,1.62
April,,,,2.27,1.67,0.88,2.56,1.14,2.11,2.64,1.29,,2.22,0.65,1.65,2.84,0.36,0.72,2.48,1.27
May,,,,2.49,3.12,1.81,3.8,1.3,2.67,0.77,2.73,2.04,1.88,2.41,2.71,1.06,1.43,2.94,1.78,2.37
June,,,,1.54,2.66,2.34,2.09,3.13,0.52,1.39,0.71,1.83,1.51,2.81,2.58,1.38,1.74,4.07,3.33,0.95
July,,,,2.42,2.29,4.19,3,1.44,1.31,2.24,1.23,0.81,1.99,4.09,0.82,4.24,3.88,3.46,3.46,3.52
August,,,,2.77,1.44,5.09,0.21,2.92,1.61,5.8,3.92,2.06,3.21,3.53,1.77,11.11,3.77,3.38,0.72,3.39
September,,,,5.46,1.59,3.81,2.66,1.84,0.56,4.73,2.59,3.31,3.67,3.07,2.43,2.45,5.59,3.84,0.35,3.4
October,,,,3.71,4.09,0.55,0.62,1.86,3.55,2.12,0.57,3.37,1.34,6.22,2.46,2.26,3.05,2.75,2.82,3.44
November,,,,5.28,0.18,4.17,2.76,1.69,4.19,4.6,7,2.42,3.4,6.6,1.4,1.27,1.19,1.52,4.49,5.04
December,,,,1.96,2.33,2.73,1.91,2.44,4.13,3.02,4.16,3.18,1.46,3.27,3.46,1.95,2.44,2.97,4.7,2.65
Total,,,,33.95,24.8,34.18,27.31,25.52,24.86,32.4,32.85,,24.06,39.95,25.06,33.59,28.95,32.93,28.34,34.03
