BRANNIE BURN,,,,,,,,,,,,
Grid ref,NN165150,Long,-4.966615,Lat,56.291841,,,,,,,
Station no,5428/5/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.40,12.37,7.02,10.07,4.86,5.85,14.69,10.40,3.73,7.38,,
February,8.20,3.41,8.50,7.94,2.92,3.78,5.63,4.47,6.44,8.32,,
March,11.44,7.05,3.52,4.82,4.86,2.20,9.24,3.17,8.68,4.25,,
April,7.50,4.12,4.54,3.57,7.95,2.31,4.69,4.47,7.72,9.88,,
May,1.82,3.16,4.07,4.23,3.84,4.22,2.39,7.13,3.48,5.56,,
June,3.95,7.86,1.31,4.36,5.85,4.55,4.76,3.08,5.82,6.37,,
July,9.65,6.76,8.30,4.64,1.75,4.33,6.10,5.59,10.49,8.43,,
August,8.55,10.18,9.65,8.37,5.96,7.00,7.81,8.61,6.27,6.17,,
September,8.93,7.36,13.03,8.28,11.72,7.23,7.04,8.30,3.84,5.26,,
October,4.28,10.55,7.62,11.11,9.45,7.04,13.22,11.77,11.33,6.16,,
November,16.74,2.89,15.31,10.50,6.52,5.74,4.42,3.39,13.65,10.57,,
December,17.88,9.58,9.23,12.31,10.17,10.44,13.19,10.49,18.40,14.33,,
Total,109.34,85.29,92.10,90.20,75.85,64.69,93.18,80.87,99.85,92.68,,
Calc annual,109.34,85.29,92.10,90.20,75.85,64.69,93.18,80.87,99.85,92.68,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
