HALESWORTH-BURLEIGH,,,,,,,,,,,,,,,,,,,,
Grid ref,TM390779,Long,1.5076242,Lat,52.347045,Elevation,60,ft,,,,,,,,,,,,
Station no,RR6799,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,1.9,1.76,3.04,1.2,1.51,0.04,1.09,1.36,,,,,,,
February,,,,,,1.03,2.92,2.36,1.15,2.94,1.71,2.72,1.79,,,,,,,
March,,,,,,0.61,2.83,2.76,1.79,1.03,0.88,1.8,1.62,,,,,,,
April,,,,,,1.01,1.29,2.09,1.19,2.3,0.86,1.14,2.96,,,,,,,
May,,,,,,2.06,0.99,1.42,3.14,1.97,0.5,0.75,1.37,,,,,,,
June,,,,,,1.73,1.57,1.38,1.19,3.25,2.21,2.08,2.58,,,,,,,
July,,,,,,4.56,1.21,3.36,0.86,6.05,4.31,1.76,3.04,,,,,,,
August,,,,,0.38,0.79,0.78,2.51,2.78,4.23,1.59,4.59,2.16,,,,,,,
September,,,,,3.02,2.22,6.28,1.85,1.79,3.5,2.7,3.03,2.27,,,,,,,
October,,,,,1.24,4.31,0.93,2.69,1.31,0.93,3.78,3.22,7.05,,,,,,,
November,,,,,2.6,5.24,3.46,3.15,6.4,2.23,2.43,1.57,3.28,,,,,,,
December,,,,,2.03,1.28,3.41,2.49,1.59,0.57,2.52,3.11,3.31,,,,,,,
Total,,,,,,26.74,27.43,29.1,24.39,30.51,23.53,26.86,32.79,,,,,,,
