"LOUND (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TG499008,Long,1.684435,Lat,52.547638,,,,,,,
Station no,1382,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.60,0.65,0.83,1.31,1.69,0.87,3.44,1.40,0.47,0.59,,
February,2.84,1.27,0.58,0.25,2.49,1.16,2.40,1.42,1.91,0.77,,
March,1.03,1.86,1.24,1.61,1.64,1.78,1.61,1.20,2.30,2.29,,
April,1.07,2.10,1.04,2.25,0.88,1.86,0.57,3.57,2.27,1.52,,
May,1.60,0.91,3.22,1.75,2.49,1.25,1.48,2.71,1.45,1.20,,
June,2.81,1.70,2.08,2.03,0.64,2.82,1.99,1.88,0.73,2.11,,
July,1.95,1.04,2.50,3.01,2.36,0.57,0.26,1.22,2.28,2.80,,
August,3.89,0.83,4.21,4.76,3.16,3.01,2.56,1.18,2.24,2.07,,
September,0.83,0.92,1.06,2.61,1.63,1.66,1.20,0.40,2.02,1.97,,
October,1.92,2.01,1.22,3.77,0.93,4.21,3.11,3.44,1.70,3.56,,
November,1.67,1.90,1.58,1.44,1.67,1.94,4.19,2.52,1.62,1.41,,
December,2.26,3.91,1.04,1.07,2.42,1.14,2.90,2.55,1.60,4.58,,
Total,24.47,19.10,20.60,25.86,22.00,22.27,25.71,23.49,20.59,24.87,,
Calc annual,24.47,19.10,20.60,25.86,22.00,22.27,25.71,23.49,20.59,24.87,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,,
