LOUND-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG501008,Long,1.687378,Lat,52.547546,Elevation,33,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,0.9,2.17,2.6,0.65,0.83,1.31,1.69,0.87,3.44,1.4,0.47,0.59,2.37,1.87,1.71,2.37,2.15,2.87,1.64,2.04,2.02,3.28,2.17,1.58,4.57,1.55,1.98,1.21,2.34,1.9,2.95,1,1.67,1.68,0.81,0.8,1.51,2.65,2.63,3.43,1.83,4.99,1.5,1.64,2.81,3.78,2.01,2.08,1.5,1.22,3.91,1.19,1.15,2.21,2.13,1.06,2.01,1.68,3.53,1.29,1.8,2.93,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,0.99,0.98,2.84,1.27,0.58,0.25,2.49,1.16,2.4,1.42,1.91,0.77,2.09,1.65,1.11,0.61,1.36,2.59,3.43,1.11,0.7,1.66,0.49,0.31,2.14,3.46,1.56,2.07,2.01,2.12,1.45,0.61,1.12,2.85,0.63,1.6,0.38,1.76,2.74,2.95,0.84,0.94,0.98,2.1,0.76,0.54,1.86,1.62,2.72,2.35,0.6,1.04,2.68,3.3,0.93,1.34,1.85,1.9,1.8,2.1,2.87,0.15,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.43,1.32,1.03,1.86,1.24,1.61,1.64,1.78,1.61,1.2,2.3,2.29,0.8,1.98,2.68,2.38,3.03,1.61,2.45,2.66,0.69,1.66,0.95,0.99,1.78,1.47,0.48,1.68,0.35,1.9,1.22,0.07,1.13,0.25,1.87,1.52,1.37,0.58,0.49,1.99,0.53,1.99,2.8,2.51,1.81,0.38,0.55,1.7,1.28,3.74,0.56,1.35,0.29,2.81,2.26,0.37,2.12,1.61,0.7,1.64,1.71,0.71,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.11,3.17,1.07,2.1,1.04,2.25,0.88,1.86,0.57,3.57,2.27,1.52,1.61,0.85,0.42,2.14,0.72,0.86,1.91,2.45,2.75,1.79,2.85,1.13,2.57,0.59,2.4,2.32,2.65,1.99,1.52,1.23,1.57,3.15,2.27,0.96,2.03,1.97,1.2,1.67,0.71,2.18,1.3,0.83,0.39,0.73,1.5,2.31,0.57,1.45,1.64,1.49,1.95,3.54,1.09,2.35,0.34,0.33,0.83,0.63,1.17,2.18,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.61,1.73,1.6,0.91,3.22,1.75,2.49,1.25,1.48,2.71,1.45,1.2,2.52,0.8,0.7,1.34,1.42,1.77,1.8,0.43,0.74,0.95,1.79,0.79,0.59,1.29,4.28,2.03,1.56,0.61,1.59,0.9,2.84,4.03,2.49,1.66,1.2,1.4,0.61,2.67,1.92,0.91,0.19,2.17,1.25,1.13,0.84,1.72,1.72,0.62,2.35,1.66,1.83,1.87,1.33,1.06,1.69,1.75,0.71,1.43,3.33,0.4,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.87,0.97,2.81,1.7,2.08,2.03,0.64,2.82,1.99,1.88,0.73,2.11,2.24,2.09,2.64,1.1,1.58,1.93,3.11,2.71,0.88,1.43,1.78,0.59,2.3,0.83,2.29,0.82,2.7,4.11,2.02,0.48,0.6,1.72,0.38,2.41,1.31,1.9,2.45,0.63,0.7,1.31,0.7,0.65,0.86,1.74,1.28,2.41,2.76,1.68,3.05,0.61,2.87,1.57,1.31,1.46,2.92,2.22,1.53,2.69,3.95,0.52,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.67,2.9,1.95,1.04,2.5,3.01,2.36,0.57,0.26,1.22,2.28,2.8,3.18,0.72,2.94,2.55,2.13,5.82,0.87,3.67,4.29,2.5,2.86,0.59,4,1.65,3.09,1.62,2.15,1.68,1.89,3.12,3.47,3.63,2.77,1.81,2.21,0.95,3.57,1.65,1.53,1.42,5.83,1.55,3.7,0.49,1.34,1.52,4.25,1.62,1.79,1.02,2.81,2.79,1.47,2.87,2.27,0.21,1.82,2.47,3.05,0.87,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,1.22,0.71,3.89,0.83,4.21,4.76,3.16,3.01,2.56,1.18,2.24,2.07,1.29,0.31,7.89,0.97,0.58,2.74,2.57,4.5,2.39,2,2.48,1.23,1.4,2.1,2.25,2.68,1.89,2.89,1.79,1.28,2.6,2.64,2.03,0.85,1.53,1.39,0.97,0.4,0.38,3.31,1.02,4.13,1.46,2.03,1.17,3.27,4.22,0.24,2.71,0.68,1.93,2.28,4.05,2.18,4.82,1.31,3.17,2.49,3.28,2.09,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.17,2.52,0.83,0.92,1.06,2.61,1.63,1.66,1.2,0.4,2.02,1.97,2.11,2.02,2.81,1.24,1.08,1.97,1.62,1.56,3.95,0.83,1.77,1.52,3.17,1.43,2.44,2.72,1.06,5.43,1.39,0.22,6.74,2.34,1.72,3.19,1.48,3.17,2.27,3.98,2.32,1.4,1.16,0.43,1.57,2.66,3.36,1.64,4.35,0.48,1.17,2.17,2.61,1.83,2.95,2,1.35,1.08,1.17,3.32,1.72,0.21,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.08,1.91,1.92,2.01,1.22,3.77,0.93,4.21,3.11,3.44,1.7,3.56,1.54,1.84,1.93,3.77,2.15,2.1,2.72,3.43,2.55,3.2,0.25,0.98,1.19,3.32,4.35,2.03,2.86,2.37,2.16,2.73,1.22,1.15,3.6,3.32,1.6,2.31,2.57,1.87,2.7,6.65,2.24,3.24,4,1.29,3.8,1.89,1.73,0.37,1.42,2.46,1.36,0.72,1.98,2.09,2.27,4.31,3.67,1.3,2.07,2.75,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,2.86,2.68,1.67,1.9,1.58,1.44,1.67,1.94,4.19,2.52,1.62,1.41,4.15,3.19,2.94,1.84,3.11,2.54,2.73,1.63,1.36,1.84,0.86,2.57,1.94,2.79,1.54,4.45,2.92,4.57,3.46,3.58,4.03,1.93,1.45,3.04,1.61,3.13,2.58,1.84,2.25,4.27,5.96,2.6,3.54,3.25,4.61,1.44,4,1.32,0.96,2.68,3.63,3.37,3.93,1.15,4.35,0.73,1.19,2,1.13,2.99,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
