PORTLAND-THE-MANSE,,,,,,,,
Grid ref,SY685736,Long,-2.445,Lat,50.56159,Elevation,125,ft
Station no,RR6699,,,,,,,
,,,,,,,,
,1890,1891,1892,,,,,
January,3.52,2.76,1.71,,,,,
February,0.62,0,1.2,,,,,
March,1.28,2.98,0.58,,,,,
April,2.57,0.86,1.27,,,,,
May,1.6,1.79,0.75,,,,,
June,2.4,2.12,0.79,,,,,
July,2.57,1.45,,,,,,
August,3.74,4.85,,,,,,
September,1.64,2.29,,,,,,
October,1.03,7.66,,,,,,
November,2.59,3.51,,,,,,
December,1.67,4.39,,,,,,
Total,25.23,34.66,,,,,,
,,,,,,,,
5 Belgrave Place Near a Methodist Chapel,,,,,,,,
Manse seems to have been a term used for the house where the minister was resident so changed often 1891 Census has observer at this address,,,,,,,,
Location matches distances and elevation,,,,,,,,
1890 Jan Gauge started,,,,,,,,
1892 July Gauge moved 0.5 miles N,,,,,,,,
