PORTLAND-THE-MANSE-(OBSERVATORY),,,,,,,,,,,,,,,,,,
Grid ref,SY682738,Long,-2.44908,Lat,50.56381,Elevation,125,ft,,,,,,,,,,
Station no,RR6699,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,1.95,3.18,3.39,1.03,1.28,0.46,2.8,4.81,2.1,,,,,,,,
February,,3.29,2.17,0.02,0.25,2.49,2,2.58,4.5,1.11,,,,,,,,
March,,0.23,1.31,2.41,2.91,3.52,0.94,0.45,1.12,2.18,,,,,,,,
April,,0.24,2.39,2.2,0.42,2.04,1.15,2.98,1.45,2.95,,,,,,,,
May,,0.81,1.42,0.32,0.17,1.35,3.24,1.09,1.51,0.84,,,,,,,,
June,,0.43,1.59,1.9,1.24,2.98,1.03,1.1,2.38,0.77,,,,,,,,
July,,4.52,4.65,3.17,0.74,0.24,0.07,1.02,0.62,1.6,,,,,,,,
August,2.04,0.85,2.37,2.13,1.02,3.06,1.16,0.99,1.64,2.24,,,,,,,,
September,2.58,1.39,3.48,0.23,5.48,2.09,0.59,2.11,0.79,2.86,,,,,,,,
October,4.51,3.79,3.69,3.11,2.36,0.9,2.75,1.51,1.73,3.3,,,,,,,,
November,4.26,0.83,7.39,5.87,1.17,0.94,2.83,4.42,3.49,0.33,,,,,,,,
December,1.81,2,2.42,3.11,3.64,4.84,2.71,3.45,5.16,3.74,,,,,,,,
Total,,20.33,36.06,27.86,20.43,25.73,18.93,24.5,29.2,24.02,,,,,,,,
,,,,,,,,,,,,,,,,,,
The Observatory Chiswell St,,,,,,,,,,,,,,,,,,
Distances work if the church was the Congregational Ch at S end of Chiswell St,,,,,,,,,,,,,,,,,,
1892 July Gauge moved 0.5 miles N from The Manse,,,,,,,,,,,,,,,,,,
1902 Unaccountably deficient,,,,,,,,,,,,,,,,,,
1903 Not printed Very short,,,,,,,,,,,,,,,,,,
1904 Not printed Short,,,,,,,,,,,,,,,,,,
Deleted 1902-4,,,,,,,,,,,,,,,,,,
