"LLANNDOVERY GRAMMAR SCHOOL",,,,,,,,,,,,
Grid ref,SN765348,Long,-3.800309,Lat,51.997867,,,,,,,
Station no,4106,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.68,6.44,2.25,4.38,4.08,-999.00,7.96,,,,,
February,4.29,1.89,3.52,5.29,2.16,-999.00,3.67,,,,,
March,5.14,3.77,3.86,4.28,4.87,2.75,3.78,,,,,
April,4.21,2.80,4.02,1.04,4.15,1.67,0.47,,,,,
May,2.44,3.84,2.75,3.42,4.53,,1.98,,,,,
June,2.12,4.49,1.55,5.30,6.78,3.11,1.21,,,,,
July,1.94,2.45,-999.00,4.78,1.16,8.30,3.68,,,,,
August,6.99,5.78,5.14,6.56,1.98,10.06,3.44,,,,,
September,5.42,3.05,5.94,5.91,,6.17,6.81,,,,,
October,1.13,6.15,4.47,10.59,,1.59,3.63,,,,,
November,10.00,4.84,5.30,10.10,2.56,2.47,3.83,,,,,
December,6.45,4.82,1.72,6.62,,,2.53,,,,,
Total,55.81,49.32,46.03,68.27,,,42.99,,,,,
Calc annual,55.81,50.32,40.52,68.27,32.27,36.12,42.99,0.00,0.00,0.00,,
Difference,-0.00,-1.00,5.51,0.00,NaN,NaN,0.00,NaN,NaN,NaN,,
