CHURT-FIRDOWN,,,,,,,,,,,,,,,,,,,,
Grid ref,SU858376,Long,-0.77482,Lat,51.13127,Elevation,490,ft,,,,,,,,,,,,
Station no,171/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.21,2.23,3.64,2.91,6.16,1.04,0.98,4.41,2.55,1.25,2.05,4.03,,2.61,3.47,3.39,3.73
February,,,,0.61,2.58,2.76,2.21,1.63,1.77,6.05,7.15,0.88,1.59,2.71,2.09,,4.51,2.61,0.24,3.55
March,,,,0.17,0.98,1.15,6.13,1.03,1.45,1.9,5.48,2.55,0.62,2.85,1.64,,2.13,1.79,3.31,1.63
April,,,,1.26,1.19,2.67,2.94,2.2,2,2.82,2.7,1.76,2.45,0.21,0.35,,0.35,0.97,3.03,0.68
May,,,,0.92,1.79,3.29,1.61,3.07,4.04,1.87,2.91,2.96,2.47,2.89,4.07,,1.67,1.85,2.41,2.27
June,,,,2.19,2.35,3.13,2.04,2.53,0.59,1.35,1.69,1.46,1.42,3.06,2.53,,1.42,3.39,1.6,1.59
July,,,,1.83,6.01,2.09,1.56,1.09,1.02,4.7,2.04,0.35,4.02,2.69,0.26,,3.14,2.11,3.19,4.05
August,,,,2.06,1.15,5.38,0.49,4.06,1.16,6.4,4.49,3.81,1.56,2.65,1.39,,3.06,4.37,2.31,3.52
September,,,,2.83,2.81,5.54,1.73,2.48,1.59,3.35,2.66,3.82,2.47,2.49,2.2,,3.15,5.53,0.32,3.73
October,,,,4.89,4.05,2.34,0.84,2.5,9.04,0.56,1.26,3.77,3.87,2.56,4.57,,2.04,2.82,2.5,9.13
November,,,,5.45,0.37,6.51,1.72,1.85,3.55,6.94,10.24,4.23,1.58,6.25,2.81,,3.49,2.6,4.69,6.11
December,,,,3.12,4.97,4.03,2.95,5.42,2.08,2.27,3.89,3.25,0.87,3.94,3.89,,3.17,3.98,7.49,4.61
Total,,,,27.54,30.48,42.53,27.13,34.02,29.33,39.19,48.92,31.39,24.17,34.35,29.83,,30.74,35.49,34.48,44.6
,,,,,,,,,,,,,,,,,,,,
1946 Nov New MO gauge supplied,,,,,,,,,,,,,,,,,,,,
1956 No return,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Churt SRC_ID 6370,,,,,,,,,,,,,,,,,,,,
1944-1973,,,,,,,,,,,,,,,,,,,,
