FLOTTERTON,,,,,,,,,,
Grid ref,NU000024,Long,-2.0015472,Lat,55.315679,Elevation,416,ft,,
Station no,RR8699,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.97,2.47,3.23,3.44,2.44,,,,,
February,1.99,1.33,1.53,1.38,2.26,,,,,
March,0.83,2.83,1.58,3.52,2.87,,,,,
April,2.03,1.43,0.51,2.78,0.44,,,,,
May,2.04,0.74,1.59,2.31,1.61,,,,,
June,1.22,6.42,5.17,2.71,,,,,,
July,3.28,0.55,2.83,0.76,,,,,,
August,3.73,2.54,4.99,2.11,,,,,,
September,0.86,1.87,2.03,2.23,,,,,,
October,2.49,2.96,3.95,2.63,,,,,,
November,3.7,3.73,2.16,1.59,,,,,,
December,2.58,4.07,1.74,1.68,,,,,,
Total,27.72,30.94,31.31,27.14,,,,,,
