GIRVAN AYRSHIRE,,,,,,,,,,
Grid ref,NX186980,Long,-4.8548916,Lat,55.242743,Elevation,18,ft,,
Station no,RR8440,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,6.04,4.5,6.7,10.3,3.6,6.4,8.25
February,,,,3.5,2.5,3.5,5.08,3.6,6.1,4.6
March,,,,,7.2,2.8,6.18,2.3,8.45,1.1
April,,,,,2.6,0.5,1,5.78,3.5,2.5
May,,,,,1.4,4.2,1.85,2.2,3,0.9
June,,,,,3.5,1.2,2.35,2.2,0.9,1.95
July,,,5,0.1,3,2.5,3.65,5.7,0.85,2.1
August,,,3.58,3.9,2.1,4.3,5.03,3,4.7,1.2
September,,,2.43,5.9,5,1.1,5.5,3.5,1.75,6.5
October,,,7.53,5.45,3.2,5.1,2.6,5.23,5.7,3.66
November,,,3,4.8,5.5,4.96,6.9,2.48,5.5,7.1
December,,,6.2,6.3,2.85,4.8,5.2,3,10.65,6.95
Total,,,,,43.35,41.66,55.64,42.59,57.5,46.81
,,,,,,,,,,
Observer lived in Hamilton St in 1861,,,,,,,,,,
