ALTON-EAGLES-NEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU723390,Long,-0.967796,Lat,51.145707,Elevation,505,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,1.2,1.78,2.58,1.95,2.84,1.46,0.63,0.62,2.76,1.8,0.3,1.54,2.1,1.12,0.46,0.92,0.23,2.76,2.42,1.01,0.72,1.9,3.65,0.35,4.4,0.65,1.43,
February,,1.28,1.42,4.23,1.7,2.3,0.16,0.43,0.37,1.23,0.38,0.03,0.55,2.5,1.35,0.04,0.22,2.94,0.83,2.43,4.2,1.3,0.74,1.26,2.8,0.51,1.4,1.1,0.62,
March,,1.5,0.62,0.7,1.4,1.21,0.98,1.14,2.04,1.41,1.05,1.1,0.68,0.2,0.7,0.72,2.5,4.12,0.35,0.65,0.38,1.5,1.55,3.42,0.8,3.3,0.85,0.66,2.25,
April,,0.3,2.55,0.95,1.12,1.11,1.2,0.97,1.03,1.73,1.55,0.67,0.55,0,1.56,1.1,0.14,1.04,1.22,2.22,0.8,1.83,0.75,1.95,0.86,0.9,0.44,2.95,1.83,
May,,0.63,1.53,1,0.3,3.06,2.83,0.99,1.25,2.85,1.36,1.67,0.55,0.79,1.2,1.47,0.21,0.9,2.5,0.72,1.23,0.29,1.75,2.31,2.4,0.6,1.1,1.5,1.78,
June,,1.4,2.06,1.48,1.72,0.88,0.45,0.31,1.6,0.6,1.74,0.99,1.16,0.45,1.39,0.28,1.82,1.5,1.51,1.6,1.68,1.29,2.9,2.75,0.46,4.2,1.3,1.63,0.46,
July,,1.48,1.53,1.61,1.91,0,1.58,0.4,3.15,1.23,2.2,1.95,1.19,1.69,3.77,3.06,0.55,0.46,0.17,0.6,1.15,1.95,0.75,2.1,0.72,0.13,0.19,0.7,1.5,
August,,4,,0.52,1.56,0.37,0.75,1.7,1.46,,2.34,3.95,3.1,0.62,2.1,1.15,2.1,3.5,0.28,0.95,2.59,1.35,2.34,2.5,2.2,2.38,1.28,2.4,3.6,
September,,,1.64,2.97,1.73,3.4,1.14,2.04,1.02,0.62,0.65,0.8,2.05,1.3,1.49,0.48,5.64,1.49,0.52,1.51,0.68,1.1,0.7,1.95,1.2,1.4,0.8,0.3,1.3,
October,,1.45,,1.95,0.4,3.06,3.15,1.06,1.17,3.06,0.95,5.9,2.95,2.45,3.2,1.86,1.82,0.45,2.66,2.77,1.79,2.2,1.34,6.8,1.25,1.68,3.75,4.5,1.94,
November,,2.68,,2.75,0.84,2.2,2.2,3.5,4.3,1.02,1.56,2.4,2.3,1.58,4.1,3.5,0.85,0.77,3.1,4.4,1.85,0.63,2.3,1.3,0.94,2.35,3.25,2.1,0.7,
December,,1.97,,0.65,2.2,0.98,2.23,1.11,1.5,1.17,0.48,3.2,1.04,2.4,1.72,2.1,2.32,3.18,2.78,1.33,3.06,3,1.11,2.55,2.4,0.46,1.75,2.9,2.7,
Total,,,,20.59,17.46,20.52,19.51,15.11,19.52,,17.02,24.46,16.42,15.52,24.68,16.88,18.63,21.27,16.15,21.94,21.83,17.45,16.95,30.79,19.68,18.26,20.51,21.39,20.11,23.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889 Aug - estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
