"CATON, CATON VICARAGE",,,,,,,,,,,,
Grid ref,SD537645,Long,-2.709075,Lat,54.074335,,,,,,,
Station no,RR1669,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.70,1.80,1.90,4.88,4.87,2.10,5.74,1.28,4.46,2.48,,
February,4.93,1.59,1.10,5.08,4.75,2.44,3.44,1.93,2.36,2.38,,
March,0.45,3.66,2.56,3.53,2.62,3.35,3.48,4.12,3.18,2.52,,
April,2.04,1.91,1.65,1.87,3.73,3.32,1.70,2.06,1.93,3.76,,
May,2.38,1.80,2.97,3.04,2.63,0.93,5.42,3.64,2.86,2.00,,
June,3.35,1.10,0.95,1.75,1.37,2.18,3.30,8.38,2.87,2.34,,
July,2.81,1.50,5.06,4.14,1.80,1.97,2.90,3.32,3.58,7.10,,
August,9.67,2.70,1.94,7.75,2.90,4.90,4.23,5.02,4.82,5.00,,
September,2.54,1.50,1.20,7.34,1.72,3.25,1.95,0.57,5.87,2.80,,
October,11.81,4.50,4.26,8.42,3.05,3.70,6.97,4.83,1.70,6.62,,
November,4.11,3.90,2.88,3.85,2.86,4.70,4.23,4.27,3.60,1.88,,
December,5.20,4.40,3.14,4.42,3.58,1.22,2.73,5.18,3.26,8.08,,
Total,53.99,30.27,29.61,56.07,35.88,34.06,46.09,44.60,40.49,46.96,,
Calc annual,53.99,30.36,29.61,56.07,35.88,34.06,46.09,44.60,40.49,46.96,,
Difference,0.00,-0.09,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
