CATON GREEN - observer Storey,,,,,,,,,,,,,,,,,,,,
Grid ref,SD549652,Long,-2.690842,Lat,54.080732,Elevation,250,ft,,,,,,,,,,,,
Station no,RR1669,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,2.58,5.21,4.78,2.44,5.76,1.95,4.03,2.5,4.81,1.97,,,,,,,,
February,,,1.18,4.7,4.4,2.39,3.29,1.96,2.52,2.26,5.66,5.35,,,,,,,,
March,,,2.9,4.48,2.75,2.89,3.85,4.12,3.41,2.44,1.11,1.79,,,,,,,,
April,,,1.97,2.1,3.86,3.15,1.98,2.06,1.93,3.78,2.08,3.51,,,,,,,,
May,,,3.33,3.49,3.26,1.74,5.56,3.64,2.92,1.96,2.13,2.28,,,,,,,,
June,,,0.96,1.6,1.49,2.22,3.46,8.14,3.06,2.16,2.43,3.22,,,,,,,,
July,,,4.93,4.09,2.16,2.2,2.5,3.19,3.3,7.02,4.99,0.96,,,,,,,,
August,,,2.63,7.88,3.15,4.23,4.54,5.2,5.48,4.94,7,4.08,,,,,,,,
September,,,1.49,6.24,1.85,3.6,1.36,0.57,6.1,3.06,0.55,4.2,,,,,,,,
October,,,4.53,8.65,3.07,3.25,7.2,4.5,1.5,6.46,2.73,4.59,,,,,,,,
November,,,2.96,3.77,2.75,4.81,4.16,3.64,4.08,2.02,4.1,6.05,,,,,,,,
December,,,3.93,4.06,3.38,1.8,3.15,4.82,3.22,7.91,5.02,8.69,,,,,,,,
Total,,,33.39,56.27,36.9,34.72,46.81,43.79,41.55,46.51,42.61,46.69,,,,,,,,
