"DARLINGTON SOUTH END GARDENS 8"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ285141,Long,-1.561,Lat,54.5221,Elevation ,140,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,0.69,2.55,1.39,2.01,2.41,1.17,1.03,3.47,5.5,4.58,2.46,1.8,1,2.36,,,2.29,0.52,3.98,2.17,1.19,0.37,0.9,1.06,2.65,3.53,2.03,3.32,1.69,0.66,0.92,2.21,1,1.57,1.92,1.58,4.3,1.01,1.84,,
February,,,,,,,,,,0.99,1.99,6.28,0.79,0.57,1.2,0.96,1.59,1.86,1.33,0.78,1.78,1.66,2.57,,,0.46,1.84,1.51,1.09,2.76,1.62,3.39,0.71,2.02,0.98,1.16,0.71,0.76,1.37,1.1,1.13,0.05,2.28,2.29,2.88,0.98,0.49,1.7,,
March,,,,,,,,,,2.4,2.39,3.94,3.48,1.54,2.5,1.64,3.78,4.6,1.44,1.71,1.56,0.81,2.96,,,0.5,2.58,1.88,0.72,0.94,1.1,2.94,1.84,1.26,2.49,1.86,2.48,2.24,3.63,2.77,1.7,1.52,0.97,0.42,0.76,2.15,1.88,2.54,,
April,,,,,,,,,,1.98,0.77,1.43,0.9,0.55,1.24,1.6,2.69,3.92,2.19,1.16,0.45,2.48,2.54,,,0.8,2.5,4.13,2.25,1.91,2.26,1.18,4.5,1.99,1.89,1.61,1.98,0.79,2.47,2.32,0.95,2.66,1.26,0.49,1.68,1.87,0.77,1.91,,
May,,,,,,,,,,0.3,4.25,0.65,1.82,1.29,1.81,3.59,1.2,3.72,1.62,3.28,0.76,1.51,2.01,,,0.94,1.2,2.18,3.57,1.32,1.46,0.96,1.93,1.62,0.44,3.18,4.23,1.83,0.6,2.33,2.08,2.16,3.08,2.24,2.75,0.91,0.55,1.8,,
June,,,,,,,,,,2.85,2.82,4.12,2.22,2.29,2.24,0.74,2.87,2.63,0.46,1.32,1.73,3.6,2.47,,,2.71,2.13,1.34,2.13,3.74,1.45,1.84,4.98,2.49,0.65,2.02,0.95,0.56,2.34,0.22,2.32,0.53,3.55,0.78,3.74,1.74,2.98,2.34,,
July,,,,,,,,,,4.44,3.76,2.68,1.99,0.65,0.65,1.92,5.94,4.11,2,1.01,0.41,3.53,2.89,,,5.16,2.45,3.46,1.01,3.05,5.11,3.79,4.14,3.44,3.85,0.56,4.52,1.16,3.68,2.31,2.01,4.4,1.36,2.47,1.89,5.5,2.17,0.97,,
August,,,,,,,,,,1.91,3.61,2.24,2.27,2.22,1.92,5.19,3.62,4.51,3.13,1.43,2.18,1.14,4.47,,,1.91,1.92,5.5,4.58,2.83,1.75,6.27,2.56,1.35,1.02,1.84,1.46,1.9,1.77,3.27,4.41,3.67,4.05,1.81,2.26,2.03,1.37,2.66,,
September,,,,,,,,,,2.25,1.19,2.91,1.04,1.61,1.61,0.28,7.24,2.6,5.47,3.76,0.47,3.66,3.03,,,2.97,3.34,1.95,1.43,1.03,4.66,2.97,2.5,3,1.11,2.01,1.91,2.49,1.18,0.54,2.09,1.94,2.12,1.53,0.69,0.73,3.18,1.87,,
October,,,,,,,,,,2.5,2,1.28,2.5,3.03,2.32,5.56,2.69,1.85,2.61,2.45,4.94,2.1,3.9,,,4.32,1.66,2.9,1.7,0.65,5.08,2.84,3.73,1.98,1.31,3.85,4.1,1.68,0.41,4.37,1.39,2.96,4.52,0.99,4.89,3.79,4.08,1.86,,
November,,,,,,,,,,4.73,2.08,3.66,1.27,1.95,2.89,2.69,1.92,1.19,2.11,2.26,1.94,1.37,4.62,,,5.49,2.95,2.47,5.16,1.97,2.43,2.39,3.06,1.22,1.59,1.7,3.09,3.19,3.66,1.11,3.61,2.25,1.16,2.36,1.01,3.04,1.23,1.88,,
December,,,,,,,,,,2.61,4.5,2.25,0.96,1.15,2.56,1.85,1.7,4.3,10.31,2.41,3.13,1.41,2.68,,,1.63,5.58,1.67,2.47,0.79,3.63,2.9,4.7,1.17,1.63,0.73,3.87,1.93,0.96,1.46,1.4,2.79,1.01,2.06,1.6,1.94,3.72,2.43,,
Total,,,,,,,,,,27.65,31.91,32.83,21.25,19.26,22.11,27.05,38.71,40.79,37.25,24.03,21.15,24.27,36.5,,,29.18,28.67,32.97,28.28,22.18,30.92,32.37,35.71,24.19,20.49,22.55,32.62,20.22,22.73,22.72,25.3,25.93,26.93,19.36,25.73,28.98,23.43,23.8,21,26.5
