"DARLINGTON SOUTH END, DURHAM",,,,,,,,,,,,,,,,,,,,
Grid ref,NZ285141,Long,-1.561,Lat,54.5221,Elevation ,140,ft,,,,,,,,,,,,
Station no,RR1011,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,1.38,0.67,1.9,,,,,,,
February,,,,,,,,,,,1.09,1.29,1.66,,,,,,,
March,,,,,,,,,,1.72,1.2,0.76,1.26,,,,,,,
April,,,,,,,,,,1.2,0.47,2.02,2.11,,,,,,,
May,,,,,,,,,,3.35,0.7,1.32,1.87,,,,,,,
June,,,,,,,,,,1.33,1.6,3.21,2.19,,,,,,,
July,,,,,,,,,,1.03,0.44,2.89,2.61,,,,,,,
August,,,,,,,,,,1.48,1.79,1.08,3.84,,,,,,,
September,,,,,,,,,,4.11,0.55,3.3,2.92,,,,,,,
October,,,,,,,,,,,4.54,1.95,3.58,,,,,,,
November,,,,,,,,,,,1.67,1.64,3.69,,,,,,,
December,,,,,,,,,,,2.54,0.97,2.23,,,,,,,
Total,,,,,,,,,,,17.97,21.1,29.86,,,,,,,
