DARLINGTON SOUTHEND GARDENS,,,,,,,,,,
Grid ref,NZ285141,Long,-1.561,Lat,54.5221,Elevation,140,ft,,
Station no,RR1011,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,0.92,,,,,,,,
February,,1.66,,,,,,,,
March,,0.78,,,,,,,,
April,,2.42,,,,,,,,
May,,1.46,,,,,,,,
June,,3.4,,,,,,,,
July,,3.39,,,,,,,,
August,,1.06,,,,,,,,
September,,3.5,,,,,,,,
October,,2.15,,,,,,,,
November,,1.43,,,,,,,,
December,,1.44,,,,,,,,
Total,,23.61,,,,,,,,
,,,,,,,,,,
"shsort record with a 9"" gauge",,,,,,,,,,
