NORWICH-NEWMARKET-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG224075,Long,1.284091,Lat,52.61969,Elevation,89,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.11,1.07,2.66,1.84,1.26,2.5,1.87,3.72,1.25,1.95,1.32,2.09,3.21,0.77,1.3,1.9,1.84,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.17,1.57,0.81,0.12,2.13,2.67,1.2,0.63,0.63,2.28,1.45,1.67,3.05,1.3,0.85,0.48,3.32,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.12,0.99,2.93,2.09,1.16,0.47,0.98,2.02,3.63,2.56,2.58,1.56,1.24,2.09,1.16,1.97,2.37,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.6,1.95,1.01,1.06,2.11,0.08,2.01,1.1,1.36,1.77,1.2,3.04,2.25,2.51,1.62,2.8,0.96,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.99,3.18,1.7,3.46,1.9,1.09,2.59,0.97,0.61,0.94,3.46,1.64,1.99,1.34,4.41,2.03,2.13,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.96,1.04,3.19,1.04,3.4,1.41,2.45,0.81,2.55,2.38,3.05,0.9,3.11,1.58,2.3,2.82,0.81,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,5.14,3.1,3.69,4.79,2.83,4.25,3.53,4.26,1.04,0.69,1.3,2.42,1.92,1.21,2.58,6.35,3.3,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.35,2.32,2.27,3.78,2.48,2.49,2.62,5.23,1.94,2.14,1.35,0.58,4.26,1.06,3.62,2.83,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.61,3.65,0.97,1.08,1.93,1.4,2.05,0.56,3.62,3.58,0.25,3.23,0.77,1.02,1.54,2.89,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.27,3.5,1.85,3.9,8.35,1.68,2.82,4.02,3.72,1.12,3.02,3.04,2.56,2.38,1.6,6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
