STROMEFERRY (ACHMORE),,,,,,,,,,,,,,,,,,,,
Grid ref,NG 85787 33634,Long,-5.561546,Lat,57.342712,Elevation,100,ft,,,,,,,,,,,,
Station no,5788/9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,7.65,4.01,8.55,12.02,4.58,0.6,1.44,5.8,6.25,10.11,6.03,8.53,6.5,5.31,,
February,,,,,9.53,3.45,5.67,7.52,10.09,2.98,4.77,3.27,7.56,3.55,6.46,7.5,0.32,6.47,,
March,,,,4.24,5.06,4.5,1.83,12.16,5.56,4.31,3.9,3.05,4.08,4.97,5.59,4,1.22,5.3,,
April,,,,5.55,3.19,2.08,2.28,2.56,4.09,4.16,3.38,1.96,7.04,3.6,2.75,4.98,10.21,5.23,,
May,,,,5.02,1.54,2.02,3,4.33,1.94,2.17,1.63,2.32,4.03,4.29,3.47,1.2,1.63,1.79,,
June,,,,3.27,3.49,2.61,3.28,7.64,2.54,2.19,1.97,3.07,5.19,6.41,4.76,6.27,5.25,4.11,,
July,,,,5.37,5.16,5.74,4.32,5.9,7.34,7.63,5.84,6.79,4.27,2.34,4.17,9.15,4.19,,,
August,,,,6.9,5.61,4.37,4.46,5.48,4.33,5.85,10.17,6.16,7.35,5.01,3.44,6,0.05,,,
September,,,,8.17,10.82,4.04,7.1,6.04,3.16,6.14,3.62,9.43,6.04,4.72,6.65,8.13,10.4,,,
October,,,,12,12.12,8.29,3.27,14.28,0.97,7.49,6.09,8.9,11.24,8.55,4.71,0.93,4.88,,,
November,,,,3.14,5.7,4.57,2.31,13.75,10.21,10.13,6.18,4.19,7.06,6.2,1.41,6.26,10.34,,,
December,,,,7.58,3.52,13.87,1.91,7.44,4.1,9.86,6.82,10.45,5,6.82,6.75,6.55,2.61,,,
Total,,,,,73.39,59.55,47.98,99.12,58.91,63.51,55.81,65.39,75.11,66.57,56.19,69.5,57.6,,,
