"SUTTON-IN-ASHFIELD W.W. RUSHLEY P.S.",,,,,,,,,,,,
Grid ref,SK546577,Long,-1.185740,Lat,53.113697,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.17,1.54,1.07,2.16,3.01,0.88,3.82,0.84,1.03,0.90,,
February,4.09,1.58,2.24,1.18,3.86,0.93,2.58,1.87,1.59,0.76,,
March,0.65,2.10,1.83,4.20,2.22,2.72,1.45,1.35,3.02,3.88,,
April,0.76,1.34,2.25,1.82,1.24,1.73,0.38,1.68,2.23,1.39,,
May,1.16,0.88,2.14,3.21,1.75,0.43,1.41,3.85,2.30,1.47,,
June,3.04,1.93,1.40,1.43,0.36,2.20,2.03,3.22,2.34,3.10,,
July,1.77,4.77,1.26,3.18,1.73,1.43,0.34,2.46,2.51,3.70,,
August,5.59,1.29,3.18,5.37,3.68,3.45,1.02,2.24,3.24,3.09,,
September,0.61,1.34,1.29,3.12,1.60,1.83,0.95,0.52,1.79,2.63,,
October,2.22,1.58,2.70,6.77,0.36,1.27,5.91,5.34,0.97,3.99,,
November,2.76,2.78,2.24,1.14,1.03,3.71,3.18,2.23,1.28,0.36,,
December,3.84,5.99,2.28,1.11,1.56,0.50,2.41,2.82,2.04,5.42,,
Total,30.66,27.12,23.88,34.69,22.40,21.08,25.48,28.42,24.34,30.69,,
Calc annual,30.66,27.12,23.88,34.69,22.40,21.08,25.48,28.42,24.34,30.69,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
