"SUTTON-IN-ASHFIELD (RUSHLEY PS)",,,,,,,,,,,,
Grid ref,SK547578,Long,-1.184229,Lat,53.114586,,,,,,,
Station no,2621,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.32,2.48,0.84,1.63,2.35,4.62,2.23,3.12,2.96,,,
February,4.05,0.48,2.01,2.66,2.39,0.84,3.26,3.08,0.20,,,
March,3.75,2.50,1.64,2.56,2.77,0.61,2.36,2.11,1.25,,,
April,1.52,1.90,2.39,0.26,0.83,2.02,0.26,0.65,3.10,,,
May,3.74,2.77,2.43,3.59,3.02,0.51,1.34,2.45,0.68,,,
June,1.05,2.53,1.94,4.79,3.26,4.00,2.38,4.64,0.77,,,
July,0.85,0.89,2.97,1.82,0.53,2.70,3.37,4.53,1.81,,,
August,5.78,2.96,1.69,4.13,0.99,7.83,5.19,2.42,0.85,,,
September,1.92,2.41,1.16,3.49,0.62,3.27,5.87,2.85,0.33,,,
October,0.81,4.13,1.95,3.62,0.91,1.07,1.39,2.01,1.70,,,
November,7.50,1.92,1.31,6.03,1.98,1.01,2.68,0.83,2.24,,,
December,2.57,2.40,0.70,2.36,2.51,3.62,2.10,3.70,3.01,,,
Total,35.88,27.37,21.03,36.94,22.16,32.10,32.43,32.39,18.90,,,
Calc annual,35.86,27.37,21.03,36.94,22.16,32.10,32.43,32.39,18.90,0.00,,
Difference,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
