SUTTON-IN-ASHFIELD-RUSHLEY-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK547578,Long,-1.184229,Lat,53.114586,Elevation,45,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,0.58,1.99,0.73,3.27,4.17,1.54,1.07,2.16,3.01,0.88,3.82,0.84,1.03,0.9,2.32,1.17,4.25,4.33,1.36,2.58,0.87,1.77,1.85,3.32,2.88,2,4.09,1.43,2.02,,2.97,1.74,5.17,1.52,5.5,2.21,1.76,1.82,2.42,1.15,3.79,3.49,2.9,3.83,1.81,3.51,3.15,,,,2.58,3.1,5.75,1.48,1.12,2.32,2.48,0.84,1.63,2.35,4.62,2.23,3.12,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.7,3.53,0.97,1.63,4.09,1.58,2.24,1.18,3.86,0.93,2.58,1.87,1.59,0.76,2.5,1.31,1.97,0.92,1.66,3.84,3.98,0.78,2.07,2.76,1.88,0.31,2.9,4.86,0.76,2.87,1.59,1.82,2,0.48,0.66,3.13,0.49,2.93,0.61,2.54,1.5,4.06,0.66,1.66,1.58,3.45,0.99,,,1.88,2.49,2.3,1.38,0.71,5.77,4.05,0.48,2.01,2.66,2.39,0.84,3.26,3.08,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.67,2.43,0.95,1.19,0.65,2.1,1.83,4.2,2.22,2.72,1.45,1.35,3.02,3.88,0.55,1.65,3.46,3.64,2.36,0.58,4.25,1.82,1.13,4.2,2.24,1.08,1.66,1.59,1.24,0.64,0.9,2.76,2.44,0.1,2.66,0.14,1.6,2.69,2.54,1.27,1.8,2.59,0.05,2.06,1.7,3.95,1.47,,,0.91,1.23,5.09,0.69,1.25,1.06,3.75,2.5,1.64,2.56,2.77,0.61,2.36,2.11,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.74,1.77,2.87,2.17,0.76,1.34,2.25,1.82,1.24,1.73,0.38,1.68,2.23,1.39,1.77,0.9,0.28,2.89,1.09,0.94,1.55,1.53,1.93,1.65,4.7,1.06,3.21,2.26,2.01,1.96,2.02,1.29,0.89,1.1,3.11,3.98,2.94,1.04,2.73,2.76,1.56,2.4,0.21,1.92,0,1.37,1.04,,,1.39,1.32,2.4,1.44,2.21,2.81,1.52,1.9,2.39,0.26,0.83,2.02,0.26,0.65,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.45,1.68,2.36,3.48,1.16,0.88,2.14,3.21,1.75,0.43,1.41,3.85,2.3,1.47,2.14,1.28,3.06,1.92,2.05,1.62,2.54,2.08,2.24,1.37,1.89,1.64,1.05,3.23,3.31,3.02,1.82,0.86,1.09,0.52,2.16,3.87,6.87,1.86,1.28,0.35,0.66,2.3,2.93,1.55,0.68,2.62,4.1,,,1.9,1.94,2.23,2.01,2.45,1.98,3.74,2.77,2.43,3.59,3.02,0.51,1.34,2.45,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.36,1.7,0.93,2.24,3.04,1.93,1.4,1.43,0.36,2.2,2.03,3.22,2.34,3.1,1.65,3.05,3.32,0.37,2.45,1.9,2.18,1.81,0.37,0.69,2.17,0.71,1.18,0.59,1.44,0.07,2.5,4.26,2.49,1.39,1.9,4.5,1.17,1.43,0.58,2.73,3.07,0.65,1.4,2.09,1.29,0.39,1,,,2.42,2.57,2.01,3.12,1.12,1.3,1.05,2.53,1.94,4.79,3.26,4,2.38,4.64,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.6,0.34,0.99,1.13,1.77,4.77,1.26,3.18,1.73,1.43,0.34,2.46,2.51,3.7,2.4,0.07,3.76,0.39,2.9,4.9,1.4,1.5,2.92,2.38,4.9,0.47,4.43,3.57,3.4,1.27,2.17,2.37,1.14,1.84,6.13,4.06,4.4,1.92,1.91,0.8,6.74,2.2,3.9,6.39,2.9,2.31,1.96,,,2.28,2.19,2.25,1.22,3.74,2.62,0.85,0.89,2.97,1.82,0.53,2.7,3.37,4.53,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.45,3.34,2.87,0.36,5.59,1.29,3.18,5.37,3.68,3.45,1.02,2.24,3.24,3.09,3.79,1.99,6.57,1.34,1.88,2.25,2.18,5.38,1.79,2.72,0.95,3.24,7.13,2.79,2.5,,2.45,4.57,3.86,2.27,2.6,5.22,1.43,0.52,1.56,2.13,1.13,1.41,2.24,2.63,0.25,1.32,2.5,,3.13,2.27,4.84,0.19,3.73,2.01,3.83,5.78,2.96,1.69,4.13,0.99,7.83,5.19,2.42,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,5,2.37,0.65,3.02,0.61,1.34,1.29,3.12,1.6,1.83,0.95,0.52,1.79,2.63,0.63,1.29,1.24,2.35,1.07,0.75,1.27,1.09,5.5,1.84,1.62,0.92,2.87,2.7,3.26,3.47,1.46,4.61,0.35,0.41,5.43,4.12,1.87,1.12,1.79,3.68,2.83,1.39,2.27,0.88,0.3,0.42,1.53,,2.9,1.21,3.38,1.46,2.14,1.03,3.44,1.92,2.41,1.16,3.49,0.62,3.27,5.87,2.85,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,3.61,1.27,2.91,3.13,2.22,1.58,2.7,6.77,0.36,1.27,5.91,5.34,0.97,3.99,2.53,2.06,3.19,4.79,2.98,1.59,2.61,3.01,1.19,2.39,1.99,4.44,0.79,1.45,4.64,3.82,2.2,2.26,5.27,4.33,2.55,0.75,3.17,5.62,1.7,2.83,3.08,3.57,3.48,2.26,4.42,3.21,2.22,,2.8,3.53,1.9,0.3,1.62,4.72,1.09,0.81,4.13,1.95,3.62,0.91,1.07,1.39,2.01,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
