ACHNASHEEN STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 16374 58526,Long,-5.0728216,Lat,57.579339,Elevation,490,ft,,,,,,,,,,,,
Station no,RR2969,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,6.41,,,,,7.49,9.33,2.49,,,6.31,3.32,,,,,,
February,,,3.36,,,,,9.64,5.08,0.67,,,4.28,3.85,,,,,,
March,,,3.39,,,,,5.88,9.5,1.94,,,7.89,0.66,,,,,,
April,,,4.72,,,,,1.43,1.38,0.7,,,3.04,,,,,,,
May,,,4.71,,,,,3.42,4.42,2.74,,,1.52,,,,,,,
June,,,10.8,,,,,7.15,3.51,2.57,,,2.66,,,,,,,
July,,,8.99,,,,,6.01,3,2.77,,,4.54,,,,,,,
August,,,8.68,,,,,4.7,2.52,3.67,,,3.37,,,,,,,
September,,,12.86,,,,,3,7.82,,,,3.88,,,,,,,
October,,,7.56,,,,,11.96,6.32,,,,2.98,,,,,,,
November,,,7.98,,,,,11.05,3.48,,,,3.69,,,,,,,
December,,,3.96,,,,,8.58,2.53,,,,4.72,,,,,,,
Total,,,83.42,,,,,80.31,58.89,,,,48.88,,,,,,,
