STOBO CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT174366,Long,-3.31299,Lat,55.615953,Elevation,594,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.3,1.4,3.2,5.5,1,3.7,,,0.5,,,,,,,,,,3.6,1.1,8.6,3.9,1.4,,1.5,3.5,3,5.3,2.4,3.1,1,2.2,1.3,6.9,2.7,2.8,0.5,4.5,2.8,1.4,2.3,2.4,4,4.7,2.3,2.5,5.6,1.2,0.5,4.65,1.5,3.77,5.85,2.74,,3.4,4.68,3.25,2.78,5.63,2.13,2.73,3.54,5.08,7.62,4.55,4.03,3.15,4.53,5.31,5.6,10.48,0.9,5.58,3.39,6.2,4.98,3.72,1.5,4.72,6.66,4.79,4.2,1.48,1.89,4.27,4.53,3.89,3.77,3.25,5.54,6.84,4.18,2.35,4.01,4.56,1.14,4.45,2.57,2.83,4.91,3.68,1.54,3.53
February,,,,,,,,1.4,0.7,2.2,,2,1.5,,,,,,,,,4.2,,,,,3.6,2.9,1.7,2.5,,1.5,3.3,4.1,6.7,4.4,2,1.7,1.3,2.4,1,0.4,3.7,2.5,9.7,0.2,1.5,3.5,5.7,2.7,2.8,1.6,0.4,6.7,2.4,2.9,2.03,2.39,3.06,1.97,6.65,,2.53,2.31,4.98,5.65,5.03,0.74,4.35,0.68,4.45,0.51,3.31,5.11,0.97,5.6,3.39,1.45,4.06,1.11,0.64,3.45,0.3,3.86,0.21,2.75,3.52,4.69,1.26,4.18,1.37,3.45,1.88,3.61,1.7,4.21,2.02,1.61,3.45,3.61,4.49,3.53,1.05,1.21,2.85,1.92,2.09,3.36,3.35,1.02,3.99
March,,,,,,,,1.2,0.3,3.7,,2.3,4.8,,,1,,,,0.2,,2.4,,,,,5,1.4,0.9,2.7,,3.7,3.6,2.9,3.1,1.4,2.8,1.6,3.6,1.5,2.8,2.2,0.3,0.4,3.5,3.6,3.2,6.7,1.5,3.4,0.2,1.5,1.5,8.5,2.1,4.8,2.9,2.96,5.59,3.42,3.27,,3.82,4.87,6.17,1.98,3.79,2.39,0.91,3.21,5.2,4.27,2.52,1.59,0.61,1.85,3.08,3.28,4.09,0.44,1.77,0.9,2.78,2.16,4.05,1.29,2,2.02,1.52,2.85,3.6,2.5,1.56,1.36,0.67,2.41,2.05,3.35,2.69,1.54,3.57,2.5,1.34,0.83,2.77,1.64,1.84,2.54,1.38,1.76,2.03
April,,,,,,,,0.5,0.5,1.8,,0.4,2,,,0.4,,,,0.1,,3.5,,,,,3.1,1.7,1.55,1.4,,0.5,1.4,1.7,1.4,2.6,1.4,1.5,1.3,2,1.2,1.5,0.5,0.3,1.2,0.5,1.5,1,2.3,2.6,2,2.6,1.8,0.7,2.7,2,0.65,2.09,1.6,3.24,3.87,,0.68,4.42,2.25,2.13,2.66,2.3,0.7,4.25,2.54,1.15,2.21,3.68,1.86,4.43,2.3,3.41,1.23,1.55,1.46,2.7,3.75,2.43,3.49,3.31,1.39,1.69,0.36,1.56,2.5,1.76,1.58,2.59,2,1.45,1,6.73,3.44,2.56,3.57,3.76,1.83,2.93,0.9,0.78,0.94,2.03,1.49,3.02,3.01
May,,,,,,,,0.7,2.5,0,,0.5,2,,,2,,,,0.5,,0.5,,,,,0.9,2,3.3,1.7,,2.6,1.9,0.3,3.2,2.3,3.6,1,1.6,1.2,1.9,1.8,1,0.3,3.3,0.4,0,0.5,2.5,2,1.1,1.9,1.9,0.5,2,1,5.9,3.37,2.1,2.25,1.75,2.8,1.16,3.6,3.18,1.31,4.44,1.88,2.92,1.35,4.25,1.81,1.64,3,2.85,6.05,3.5,2.27,1.5,2.65,1.31,2.85,2.46,1.88,3.16,1.18,0.78,2.5,2.83,0.86,1.64,4.32,3.25,4.04,2.76,4.35,0.98,3.14,2.16,2.33,1.82,2.88,2.14,2.41,5.48,2.93,1.53,1.9,2.47,1.78,2.07
June,,,,,,,,2.8,1.1,1,3.5,2.7,3.9,,,,,,,,,,4.4,,,3.1,2.4,2.3,1.15,4.8,,1.9,3.6,1.3,0.2,0.2,0.8,1,3.3,1.4,3.1,1,1.2,1.2,2,0.8,3.9,2.5,2.2,0.5,4.1,2,0.8,1.1,3,0.75,1.35,3.29,3.2,2.15,1.17,1.95,4.14,2.36,1.69,1.99,5.11,2.2,1.4,2.78,1.49,0.55,2.45,1.57,1.15,0.4,3.46,3.69,4.18,1.83,1.91,5.08,1.29,1.95,2.05,2.65,1.71,1.49,4.67,1.55,1.18,0.89,0.79,3.55,3.41,3.2,2.56,2.94,4.9,1.08,2.82,1.49,2.65,3.62,2.58,1.42,2.72,2.57,3.92,2.41,1.27
July,,,,,,,,1.4,1.9,1.4,0.5,5.3,2,,,0.2,,,,,1.4,,,,,2.93,,3.9,0.5,3.8,,2.8,4.1,4.8,4.6,1.1,3.4,2,4.5,3.3,2.5,2.7,1.4,2.3,1.9,5,2.7,2.4,2,2.7,3,1,2.2,3.5,2,1.3,2.11,2.99,1.5,3.76,4.57,1.1,2.09,0.98,2.04,3.8,4.91,1.32,2.17,0.61,4.6,3.32,3.54,3.73,4.31,1.47,2.26,2.68,2.34,2.36,2.7,4.19,3.54,4.94,2.81,1.48,4.85,4.25,3.58,3.29,6.6,2.72,2.65,2.23,1.6,3,3.58,2.37,2.79,2.08,3.73,3.18,2.36,4.66,3.91,3.16,4.53,3.91,6.02,3.16,3.09
August,,,,,,,,1,1.3,2,3.8,3.3,3.1,,,1.3,,,,,,2.1,,,,1.68,4.04,5.5,4.04,4.6,,5.5,1.9,2.7,1.2,2.6,1.1,1.5,2.2,4.6,,5.5,3.5,1.2,4.3,4.3,1.6,5.5,3.7,0.7,3,2.3,1.2,4.5,3.9,3.4,6.66,4.12,3.73,2.23,4.63,0.8,3.38,1.62,1.94,2.93,3.8,5.27,2.43,2.81,5.79,6.74,2.41,6.49,2.97,2.98,3.31,4.43,4.02,5.39,7.3,3.28,1.15,2.76,3.58,1.57,1.67,3.44,1.78,1.62,1.6,4.74,3,4.47,2.55,2.98,4.26,0.03,7.21,2.69,3.75,4.69,4.24,2.66,5.14,1.88,6.17,4.86,3.68,0.96,5.54
September,,,,,,,,3.2,1.3,1.7,0.5,3,0.8,,,0.2,,,,,,2.4,,,,4.6,3.3,1.7,3.5,2.2,,2.8,1,3.7,2.5,3.9,3.9,4.2,1.2,1.4,,6.8,2.6,1.2,0.3,0.3,3.9,2.7,3.1,3.1,2.2,1.2,1.9,1.8,1.1,0.9,0.5,0.71,4.34,1.6,0.91,1.25,3.39,2.66,1.68,2.16,2.31,2.91,5.95,2.73,2.14,1.71,2.5,3.55,3.49,3.45,4.06,8.32,2.25,0.45,3.8,1.17,4.51,1.23,2.92,3.87,3.5,1.89,3.01,2.38,4.98,1.24,4.18,2.54,4.92,4,4.73,2.4,3.6,1.98,7.17,2.44,2.18,3.47,4.41,2.92,2.99,3.02,3.91,0.97,1.89
October,,,,,,,,1.2,3.2,3.7,3,1.4,3.7,,,2.4,,,,1.4,4.3,2.5,,,,4.1,3.1,3.6,1,1.8,,3.4,2.5,4.5,1.6,3.5,4.5,2.2,2.2,4.5,2.5,4.8,2.4,3,2,3.9,4.6,1.2,4.8,1.9,4.4,5.5,1,8.2,1,3,6.11,6.47,1.2,5.63,2.59,2.45,3.47,2.76,1.73,1.47,5.88,5.62,5.17,2.67,2.25,4.14,3.12,4.01,2.4,3.28,4.95,4.57,5.26,4.82,5.24,2.54,6.46,3.71,5.59,7.16,4.68,3.44,6.51,3.44,3.28,3.83,4.13,5,3.55,3.32,0.55,1.16,2.21,5.38,2.91,0.58,3.91,2.71,7,2.81,2.73,3.31,2.14,4.07,2.93
November,,,,,,,,1.9,1.5,3,1.1,4.6,2.2,,,1.4,,,,5,1.9,2.3,,,,,2.1,5.6,2,1.45,,4.8,4.1,3.6,2.8,3,3.3,3.4,8.7,0.67,5.9,3,0.5,3,3,3.9,1,1.3,6.4,6.1,3.7,4.1,1.8,2.8,1.9,1.9,4.02,2.22,4.12,1.41,3.17,2.75,3.18,3.98,5.32,2.09,5.15,4.37,3.95,4.84,3.23,1.52,1.79,4.93,1.99,1.25,5.29,3.22,3.7,5.1,4.75,4.78,2.57,1.99,1.71,5.2,3.73,0.65,7.98,6.84,3.85,3.41,1.04,2.73,7.71,0.53,6.33,4.74,2.47,4.16,3.82,7.87,2.95,4.41,7.25,1.68,1.42,1.91,1.21,6.64,5.64
December,,,,,,,,0.26,5.3,1.9,1.6,1.4,3,,,2.1,,,,,2.5,3.7,,2.1,,,,2.5,2.8,2.5,,2.5,4.5,3.2,3.6,2.7,3,2.4,3.3,4.4,2,6.5,0.3,5.4,3.1,4.5,4.3,2.9,5.1,2.2,7.1,6.8,4.7,1.4,2.5,1.7,3.25,4.41,3.75,4.52,3.9,3.2,6.48,3.76,7.86,6.13,3.62,1.56,2.44,7.82,3.67,5.31,4.01,3.45,6.27,4.02,1.31,1.64,2.53,10.56,3.51,2.39,6.27,0.49,4.81,2.02,5.48,3.1,3.08,1.6,4.05,1.95,3.59,1.96,5.6,2.98,3.56,2.69,5.4,6.02,2.32,5.02,4.16,3.37,5.17,5.15,5.49,4.38,5.59,5.75,4.67
Total,,,,,,,,16.86,21,25.6,,27.9,32.7,,,,,,,,,,,,,,,41.7,26.34,30.85,,33.5,35.4,35.8,36.2,30.1,32.9,23.5,35.4,28.67,,38.9,20.2,21.3,38.8,30.2,29.6,32.5,41.7,31.9,38.3,32.8,21.7,45.3,25.8,24.15,40.13,36.52,37.96,38.03,39.22,,37.72,38,42.09,34.42,52.33,32.69,35.12,37.29,44.69,38.65,34.05,45.14,32.02,39.31,42.22,44.56,45.64,37.16,39.97,36.72,41.28,32.38,38.1,33.98,38.03,35.82,41.37,34.37,36.13,32.7,31.92,38.61,40.36,36.2,34.87,36.7,47.16,37.61,42.32,41.95,33.37,33.42,51.91,28.86,35.28,38.7,38.84,33.08,39.66
