HESSLE - SANDFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA026262,Long,-0.447,Lat,53.722,Elevation,90,ft,,,,,,,,,,,,,,,,,,,
Station no,3392/3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.46,3.70,3.44,2.40,4.19,1.68,2.93,2.81,3.36,,,,,4.56,0.99,1.21,1.88,1.80,1.00,1.80,1.18,5.47,1.39,1.92,2.24,4.19
February,,3.18,2.85,3.13,1.32,1.04,1.84,2.90,1.79,0.46,,,,,1.32,0.53,3.74,2.62,0.62,1.67,2.23,2.16,1.76,1.93,4.07,0.30,1.69
March,,0.94,1.00,2.72,0.30,2.25,1.90,3.05,1.06,0.31,,,,,0.65,1.04,1.12,2.91,2.33,0.53,2.00,2.19,1.40,1.54,1.67,1.75,1.06
April,,2.52,2.19,3.97,0.32,1.50,1.58,1.07,1.11,1.25,,,,,2.30,2.42,3.27,1.12,1.08,2.02,0.24,0.85,1.66,0.24,1.28,2.86,1.13
May,,0.74,1.78,3.80,3.37,1.38,1.67,1.68,2.97,2.55,,,,,1.95,1.23,2.57,4.44,1.40,1.99,3.60,2.93,0.51,1.73,2.47,0.31,0.67
June,,2.73,2.72,1.39,2.28,2.96,0.51,0.33,1.50,2.62,,,,,4.75,0.65,1.55,1.19,2.26,3.10,1.65,2.17,2.43,2.79,3.89,0.88,0.41
July,,0.23,4.25,2.52,4.31,3.66,6.17,3.63,2.55,1.41,,,,,1.09,2.60,2.87,1.51,1.96,2.13,2.25,0.87,3.53,4.34,4.40,1.85,3.72
August,,2.11,1.37,1.27,3.00,3.03,0.84,2.77,1.45,1.61,,,,,3.10,1.61,3.42,5.27,1.20,3.05,5.96,0.71,5.06,2.66,2.00,0.22,1.98
September,,4.41,2.31,1.28,1.80,1.07,1.12,0.56,2.01,1.60,,,,,1.66,0.86,2.80,1.10,3.63,0.88,1.90,0.91,1.27,3.68,1.68,0.31,2.02
October,1.78,4.11,2.33,2.62,3.25,3.26,3.96,2.59,1.48,2.31,,,,,1.28,2.56,1.24,0.96,2.25,1.80,3.76,1.87,1.12,1.54,1.54,2.31,5.69
November,2.13,4.20,2.95,2.95,2.78,3.73,4.34,2.40,1.24,2.27,,,,,0.91,3.84,4.78,3.75,2.68,1.62,4.42,0.86,0.71,2.24,0.64,2.37,3.95
December,3.45,2.87,1.32,5.65,4.41,1.73,2.00,0.98,2.03,1.15,,,,,2.44,2.54,2.77,1.71,1.48,1.37,2.44,2.66,1.51,1.91,3.40,3.03,3.03
Total,,30.50,28.77,34.74,29.54,29.80,27.61,24.89,22.00,20.90,,,,,26.01,20.87,31.34,28.46,22.69,21.16,32.25,19.36,26.43,25.99,28.96,18.43,29.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/248,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/103,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/184,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The September 1939 figure is shown in brackets on the sheet without explanation. It has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The June 1941 figure is identified as an estimate on the sheet and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The gauge relocated to Westfield Rise for 1944-1947, about 600m NNE.",,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1987 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,
