"BANSTEAD THE HALL",,,,,,,,,,,,
Grid ref,TQ248599,Long,-0.210304,Lat,51.324519,,,,,,,
Station no,RR4872,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.52,5.06,1.31,4.93,1.44,1.79,1.15,,
February,,,,2.01,3.83,1.04,2.33,1.70,0.91,0.79,,
March,,,,3.23,1.43,3.88,1.48,0.90,3.03,4.04,,
April,,,,2.18,1.54,1.75,0.56,3.46,2.60,2.08,,
May,,,,3.16,2.45,1.05,1.48,1.91,2.19,1.25,,
June,,,,6.77,0.62,4.89,2.71,2.06,2.05,3.71,,
July,,,,5.25,1.79,0.95,0.76,1.21,3.55,3.71,,
August,,,,4.48,1.64,3.31,0.66,2.23,3.83,2.33,,
September,,,,3.32,1.42,2.00,1.42,0.51,1.41,3.44,,
October,,,,7.58,2.21,1.52,4.21,4.61,2.41,4.89,,
November,,,,2.58,1.66,4.95,4.89,2.43,0.81,1.06,,
December,,,,3.07,2.84,0.69,3.14,3.80,2.66,3.74,,
Total,,,,46.15,26.49,27.34,28.57,26.26,27.24,32.19,,
Calc annual,0.00,0.00,0.00,46.15,26.49,27.34,28.57,26.26,27.24,32.19,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,,
