"BANSTEAD THE HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4872,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.65,2.44,3.83,1.75,2.28,,,,,,,
February,0.91,0.28,2.92,4.62,0.79,,,,,,,
March,2.73,1.89,2.38,2.30,0.85,,,,,,,
April,3.75,1.46,3.35,2.71,5.21,,,,,,,
May,0.80,3.40,1.30,2.99,3.88,,,,,,,
June,2.24,0.21,1.54,0.34,2.61,,,,,,,
July,5.60,0.19,4.85,3.81,4.30,,,,,,,
August,2.03,1.54,2.85,3.83,3.64,,,,,,,
September,3.97,1.47,2.21,1.55,3.93,,,,,,,
October,1.33,0.91,1.31,6.02,4.15,,,,,,,
November,2.19,2.09,1.70,2.24,4.38,,,,,,,
December,3.19,1.67,4.63,2.98,4.83,,,,,,,
Total,31.39,17.55,32.87,35.14,40.85,,,,,,,
Calc annual,31.39,17.55,32.87,35.14,40.85,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,
