BANSTEAD-THE-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ248599,Long,-0.21015,Lat,51.32504,Elevation,480,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,2.52,5.06,1.31,4.93,1.44,1.79,1.15,2.47,1.37,3.34,3.85,0.66,4.47,1.29,1.4,3.16,3.82,2.65,2.44,3.83,1.75,2.28,,,,,,
February,,,,2.01,3.83,1.04,2.33,1.7,0.91,0.79,4.44,1.35,2.16,0.93,4.33,5.29,4.58,0.86,1.16,2.44,0.91,0.28,2.92,4.62,0.79,,,,,,
March,,,,3.23,1.43,3.88,1.48,0.9,3.03,4.04,1.43,2.18,4.31,2.96,4.42,0.76,5.13,1.63,0.99,3.7,2.73,1.89,2.38,2.3,0.85,,,,,,
April,,,,2.18,1.54,1.75,0.56,3.46,2.6,2.08,1.67,1.98,0.04,2.94,0.86,1.82,1.26,2.48,3.96,3.36,3.75,1.46,3.35,2.71,5.21,,,,,,
May,,,,3.16,2.45,1.05,1.48,1.91,2.19,1.25,1.95,5.28,1.19,1.63,1.42,2.75,2.28,1.77,1.93,0.13,0.8,3.4,1.3,2.99,3.88,,,,,,
June,,,,6.77,0.62,4.89,2.71,2.06,2.05,3.71,2.3,2.65,3.28,0.26,0.93,0.79,2.29,2.02,1.14,1.08,2.24,0.21,1.54,0.34,2.61,,,,,,
July,,,,5.25,1.79,0.95,0.76,1.21,3.55,3.71,2.63,0.3,1.76,2.81,2.68,4.7,1.57,5.6,6.55,2.17,5.6,0.19,4.85,3.81,4.3,,,,,,
August,,,,4.48,1.64,3.31,0.66,2.23,3.83,2.33,3.9,1.54,5.97,2.57,2.08,2.2,2.91,5.04,1,3.18,2.03,1.54,2.85,3.83,3.64,,,,,,
September,,,,3.32,1.42,2,1.42,0.51,1.41,3.44,0.92,1.1,3.6,2.24,1.1,2.59,1.75,1.9,5.06,1.59,3.97,1.47,2.21,1.55,3.93,,,,,,
October,,,,7.58,2.21,1.52,4.21,4.61,2.41,4.89,3.45,4.16,2.8,4.16,1.58,2.66,4.31,3.31,1.62,0.78,1.33,0.91,1.31,6.02,4.15,,,,,,
November,,,,2.58,1.66,4.95,4.89,2.43,0.81,1.06,3.3,4.08,2.25,3.03,3.76,2.81,5.03,1.64,2.75,1.43,2.19,2.09,1.7,2.24,4.38,,,,,,
December,,,,3.07,2.84,0.69,3.14,3.8,2.66,3.74,4.82,6.98,3.47,1.16,8.42,6.4,3.13,2.1,2.53,4.1,3.19,1.67,4.63,2.98,4.83,,,,,,
Total,,,,46.15,26.49,27.34,28.57,26.26,27.24,32.19,33.28,32.97,34.17,28.54,32.24,37.24,35.53,29.75,31.85,27.78,31.39,17.55,32.87,35.14,40.85,,,,,,
