"ESKDALEMUIR (GARWALDSHIELDS)",,,,,,,,,,,,
Grid ref,NY194997,Long,-3.270544,Lat,55.284806,,,,,,,
Station no,5040/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.30,5.50,3.24,5.84,5.91,4.14,9.62,6.17,4.81,7.80,,
February,4.83,0.95,2.09,4.11,2.20,1.77,4.27,4.83,2.33,9.42,,
March,4.25,3.00,1.00,4.08,2.70,2.86,5.56,2.58,3.97,2.62,,
April,4.60,3.97,4.34,1.57,3.49,1.19,3.12,2.10,4.70,6.78,,
May,1.60,2.78,3.40,6.09,3.99,3.48,2.15,4.71,2.20,3.54,,
June,2.87,5.10,1.70,7.47,3.45,3.10,1.92,4.11,3.70,4.20,,
July,5.37,3.37,11.45,5.90,2.70,7.32,4.56,7.84,5.79,5.41,,
August,7.48,4.86,5.36,6.08,2.17,7.17,6.65,6.11,1.10,5.36,,
September,6.95,2.43,6.48,9.38,5.45,5.42,5.10,6.85,2.15,4.06,,
October,0.64,4.91,4.25,12.69,3.14,5.09,7.14,4.88,5.70,3.09,,
November,10.23,4.02,8.33,10.25,2.70,2.88,2.32,2.36,11.27,9.10,,
December,9.00,5.42,4.53,8.61,6.71,7.60,5.30,5.35,9.77,6.10,,
Total,65.12,46.31,56.17,82.07,44.61,52.02,57.71,57.89,57.49,67.48,,
Calc annual,65.12,46.31,56.17,82.07,44.61,52.02,57.71,57.89,57.49,67.48,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,,
