CHATBURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD766432,Long,-2.357472,Lat,53.884455,Elevation,363,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.93,5.28,3.04,3.21,0.91,3.81,2.58,2.87,1.68,5.11,7.39,6.32,3.65,4.17,5.07,3.75,2.49,6.95,2.35,5.95,2.6,7.9,1.97,4.03,4.71,3.51,6.17,4.34,2.9,,,,,,,,,,,9.93,2.02,6.16,4.68,6.36,3.48,4.33,2.18,4.82,1.99,5.05,6.17,2.23,1.33,5.14,6.19,6.16,2.9,4.79,5.39,7.62,2.32,2.9,4.31,4.71,1.93,4.05,2.82,5.28,3.71,3.69,3,6.07
February,,,,,,,,,,3.1,0.63,0.59,2.66,6.25,7.58,0.61,2.36,3.9,4.34,1.89,5.05,1.52,1.38,5.23,4.14,2.53,3.22,3.49,3.6,4.9,4.92,6.65,1.87,1.83,2.62,4.63,4.4,0.99,,,,,,,,,,,6.71,0.88,0.59,5.72,0.21,5.43,0.37,7.32,2.26,6.6,2.14,4.32,2.21,5.23,1.44,2.48,2.79,5.07,5.83,2.7,3.02,2.96,6.13,4.27,1.39,1.89,3.32,1.4,1,3.31,6.92,0.4,2.67
March,,,,,,,,,,3.86,4.82,1.7,1.2,2.12,4.53,3.25,6.93,5.49,2.56,2.93,0.87,3.31,3.27,5.93,2.86,3.15,4.27,5.13,3.47,2.79,0.69,1.81,6.1,5.8,4.85,2.25,2.85,2.49,,,,,,,,,,,3.39,1.22,2.88,0.77,3.24,2.71,2.76,1.61,2.76,2.45,1.12,1.89,3.29,3.86,3.98,1.27,0.35,2.13,1.33,7.08,2.03,1.45,2.03,4.79,2.61,1.52,2.27,1.85,1.47,3.27,1.64,1.87,0.83
April,,,,,,,,,,2.28,1.47,2,2.44,0.72,2.45,2.7,2.65,3.01,2.03,3.67,3.14,2.52,1.5,2.93,4.21,3.44,1.3,1.69,3.79,4.25,3.41,2.71,1.32,4.97,1.15,2.11,3.17,,,,,,,,,,,,2.32,1.17,3.03,3.51,3.9,1.83,3.26,3.71,1.85,2.81,0.76,1.83,3.01,1.61,1.96,2.21,2.52,3.16,1.52,3.83,2.1,4.56,3.62,2.39,3.01,3.44,1.01,2.15,2.73,1.33,1.06,3.37,2.6
May,,,,,,,,,,3.05,2.44,2.45,4.57,2.28,2.69,0.83,0.55,2.65,3.38,2.85,1.8,0.86,2.83,3.81,3.11,0.55,5.02,3.8,3.68,1.93,2.61,2.01,2.37,3.38,2.19,1.71,3.06,,,,,,,,,,,,0.83,2.76,2.7,2.66,4.58,2.27,4.54,1.16,1.23,2.74,3.63,1.32,1.45,2.37,2.08,2.97,5.12,3.76,2.14,3.46,1.46,2.62,1.58,1.67,2.63,3.51,3.01,2.77,1.94,2.41,5.99,1.94,2.67
June,,,,,,,,,,1.35,3.85,0.96,3.69,2.47,3.57,2.93,3.05,4.43,2.83,1.56,2.68,1.49,1.08,2.32,1.29,3.47,1.75,8.1,2.52,2.41,2.64,4.52,6.66,2.91,1.9,1.07,2.75,,,,,,,,,,,,6.68,2.27,3.11,5.75,1.42,1.83,2.98,3.39,3.5,2.3,4.91,4.58,1.3,0.34,1.96,3.89,3.29,4.76,3.75,3.19,5.38,0.83,3.66,1.18,3.23,2.43,3.52,3.22,2.12,1.67,4.97,3.28,1.12
July,,,,,,,,,,3.67,4.34,2.51,1.46,4.26,3.81,5.41,3.16,2.34,0.71,2.05,3.18,1.96,3.49,4.48,1.81,2.38,2.08,2.43,5.21,6.19,3.36,0.78,4.29,1.44,4.22,3.01,2.99,,,,,,,,,,,,2.02,4.18,6.29,4.34,4.81,2.77,2.27,2.1,4.36,2.47,5.13,5.82,4.26,1.18,4.26,2.93,3.98,2.99,6.09,5.11,1.85,2.75,4.18,3.62,2.37,5.73,4.96,0.96,4.89,4.29,3.95,2.77,7.35
August,,,,,,,,,,6.04,6.51,7.02,6.51,6.48,7.58,4.49,2.68,7.01,6.55,2.34,6.06,3.1,2.89,6.64,6.58,4.88,4.57,4.93,3.31,2.73,6.16,3.06,6.5,2.03,2.46,5.72,3.75,,,,,,,,,,,,8.45,6.63,6.35,5.08,1.63,2.64,4.62,1.52,3.5,2.39,5.68,2.13,1.86,6.02,5.89,6.95,2.56,1.44,9.06,0.71,3.86,3.06,9.87,4.01,6.25,6.06,5.06,1.23,10.75,4.78,4.56,0.57,6.26
September,,,,,,,,,,2.9,4.23,3.9,4.44,5.05,0.46,2.21,6.66,5.45,1.24,7.11,2.26,0.96,1.01,6.47,1.5,3.59,1.3,1.17,5.09,2.73,0.38,4.14,1.96,1.9,3.89,0.94,2.83,,,,,,,,,,,,1.66,2.47,3.9,2.56,6.31,1.88,3.95,7.91,5.17,2.43,1.86,1.23,5.25,1.01,2.52,3.44,6.86,3.27,7.67,3.67,3.84,1.56,6.86,3.86,4.92,5.07,5.26,2.78,3.92,5.47,4.76,0.33,3.16
October,,,,,,,,,,4.53,4.19,3.76,6.01,7.02,4.12,5.85,3.24,2.6,3.93,2.89,7.31,3.73,5.3,10.61,2.46,3.81,6.85,4.49,1.99,4.95,3.66,3.86,5.01,2.13,2.04,1.86,10.19,,,,,,,,,,,,6.45,6.67,7.21,3.51,7.85,4.03,6.15,11.09,3.61,2.49,8.96,1.78,4.01,5.7,5.9,4.13,4.72,5.88,1.34,0.76,2.48,6.12,3.49,1.19,3.32,1.59,8.57,2.87,2.14,5.22,3.45,4.54,3.7
