"CHATBURN SCHOOL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2991,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,9.93,2.02,6.16,
February,,,,,,,,,6.71,0.88,0.59,
March,,,,,,,,,3.39,1.22,2.88,
April,,,,,,,,,2.32,1.17,3.03,
May,,,,,,,,,0.83,2.76,2.70,
June,,,,,,,,,6.68,2.27,3.11,
July,,,,,,,,,2.02,4.18,6.29,
August,,,,,,,,,8.45,6.63,6.35,
September,,,,,,,,,1.66,2.47,3.90,
October,,,,,,,,,6.45,6.67,7.21,
November,,,,,,,,,6.88,7.24,5.87,
December,,,,,,,,,2.78,9.20,4.05,
Total,,,,,,,,,58.10,46.71,52.14,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.10,46.71,52.14,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,
