EXETER HEAVITREE,,,,,,,,,,,,
Grid ref,SX936924,Long,-3.508674,Lat,50.721452,,,,,,,
Station no,RR8538,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.69,3.87,1.46,3.24,4.32,1.52,5.58,,,,,
February,5.72,1.33,2.17,2.22,5.90,1.38,3.28,,,,,
March,1.35,3.45,1.86,3.15,2.08,4.32,1.18,,,,,
April,1.21,3.25,1.85,2.19,0.96,3.30,0.81,,,,,
May,1.70,1.54,2.16,3.59,2.28,0.30,1.96,,,,,
June,2.15,2.30,2.31,2.78,0.90,2.69,1.40,,,,,
July,1.07,2.78,2.55,3.73,6.21,0.28,0.66,,,,,
August,1.73,0.97,2.96,3.37,2.59,4.48,1.18,,,,,
September,0.77,2.72,2.22,3.77,2.18,1.24,0.71,,,,,
October,2.20,1.81,2.55,6.65,1.45,1.85,4.50,,,,,
November,4.54,0.97,4.58,1.69,1.78,4.23,2.62,,,,,
December,4.72,6.20,2.41,4.51,2.97,0.76,2.11,,,,,
Total,31.85,31.19,29.08,40.89,33.62,26.35,25.99,,,,,
Calc annual,31.85,31.19,29.08,40.89,33.62,26.35,25.99,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,NaN,NaN,NaN,,
