LONGHILLS HALL - BRANSTON,,,,,,,,,,,,,,,,
Grid ref,TF035668,Long,-0.452,Lat,53.188,Elevation,110,ft,,,,,,,,
Station no,RR1038,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884
January,2.77,1.32,,2.66,2.24,1.56,2.11,1.41,3.36,1.78,1.51,0.23,0.67,1.47,2.98,2.36
February,1.90,1.96,,2.97,1.81,1.64,1.25,2.34,2.13,1.44,2.88,1.90,3.49,1.47,2.96,1.46
March,2.54,1.69,,1.78,1.24,0.88,0.57,3.43,2.12,0.79,0.77,1.99,1.72,1.19,1.30,1.38
April,2.57,1.10,,3.50,1.10,1.10,0.69,3.70,2.58,1.62,2.01,2.13,1.02,3.50,1.73,1.26
May,5.12,0.69,,1.21,2.51,1.19,1.55,0.69,2.64,3.78,3.63,0.91,1.45,2.35,1.91,1.11
June,1.56,1.73,,2.97,1.23,0.78,2.42,2.69,1.17,1.79,4.27,3.40,1.41,4.13,6.38,0.50
July,0.43,1.01,,4.16,1.74,1.70,3.96,1.39,2.63,1.45,2.78,5.17,3.09,2.41,3.24,3.20
August,1.55,1.75,,3.43,3.10,2.44,1.74,1.99,3.22,6.58,3.57,1.33,4.68,4.24,1.46,1.36
September,3.23,1.44,,3.03,2.43,2.05,1.63,4.01,2.47,1.74,3.42,4.65,2.43,2.34,5.59,1.14
October,1.42,5.20,,4.17,2.77,1.48,4.59,2.12,1.57,2.29,0.95,5.53,2.13,4.72,3.49,0.88
November,1.61,1.89,,3.68,1.24,2.45,4.55,3.48,2.16,4.14,1.53,2.28,2.48,3.44,3.16,1.37
December,4.08,3.27,,3.16,0.23,3.32,1.09,5.40,1.66,1.89,0.67,2.44,2.51,4.02,1.48,1.66
Total,28.78,23.05,25.21,36.72,21.64,20.59,26.15,32.65,27.71,29.29,27.99,31.96,27.08,35.28,35.68,17.68
,,,,,,,,,,,,,,,,
TYRain_1860-1869_04_pt1/047,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/030,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/034,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
# The 1860s sheet is shared with nearby Branston Hall. The 1866-1868 readings are for Branston Hall not Longhills Hall.,,,,,,,,,,,,,,,,
