LINCOLN - BRANSTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF018672,Long,-0.478,Lat,53.192,Elevation,122,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914
January,0.86,2.80,1.85,,,0.59,2.50,2.23,1.34,1.70,1.17,,1.06,1.30,0.14,,,,,1.78,3.31,2.60,0.59,1.70,2.61,1.76,1.11,1.94,1.78,3.49,0.92,2.00,0.91,2.16,2.99,0.73,0.90,1.81,2.11,0.99,2.59,0.94,0.94,1.22,1.90,1.27,2.85,2.83,0.84
February,2.10,1.08,1.54,,,2.12,2.77,1.66,1.64,0.95,0.97,,1.25,2.79,1.73,,,,,2.99,0.32,0.74,1.91,2.18,1.27,0.03,1.76,2.38,1.51,0.32,0.71,3.05,0.57,1.23,3.02,1.77,1.46,0.58,2.61,0.62,1.84,1.47,1.71,0.51,1.92,0.83,1.20,0.55,0.75
March,1.27,2.02,1.03,,,1.08,1.75,1.22,0.79,0.49,3.19,,0.79,0.59,1.88,,,,,1.50,3.38,1.57,3.23,3.63,1.42,1.33,1.15,0.25,0.52,2.09,2.08,1.56,1.05,0.80,0.63,1.63,1.82,3.83,1.61,1.88,1.55,1.52,2.02,3.08,0.49,1.00,2.03,2.43,1.83
April,1.28,2.83,1.69,,,3.10,3.27,1.14,1.15,0.62,3.01,,1.43,2.12,1.90,,,,,2.01,1.46,0.92,2.53,2.26,0.42,1.71,1.56,0.22,2.23,1.56,0.69,1.32,2.32,2.50,0.90,1.40,2.02,1.33,0.95,1.49,1.03,1.79,2.35,1.67,1.79,1.04,0.20,1.75,0.89
May,1.29,2.77,0.38,,,1.34,1.16,2.50,1.26,1.49,0.58,,4.00,3.22,0.79,,,,,1.72,5.28,1.87,0.69,4.40,2.24,3.11,2.95,1.24,1.38,0.76,0.48,1.44,2.00,3.34,2.69,0.84,2.70,2.43,1.82,0.54,1.40,3.27,2.02,0.83,2.48,1.09,2.34,1.50,1.56
June,2.95,2.00,0.52,,,3.00,3.24,1.27,0.69,2.25,2.46,,1.75,5.22,3.49,,,,,2.56,0.85,0.25,1.55,0.65,2.12,3.66,5.77,2.35,2.66,1.25,3.50,1.69,1.82,1.65,2.88,1.64,2.74,1.00,0.46,2.64,1.59,2.54,1.17,2.79,1.68,2.56,3.23,0.53,1.60
July,3.26,1.47,0.30,,,3.18,4.67,1.86,2.08,3.81,1.37,,1.12,3.31,5.00,,,,,0.32,2.46,0.81,6.09,2.12,2.30,3.18,3.05,4.11,2.76,4.05,1.96,1.09,0.73,0.94,1.66,2.54,1.43,2.38,2.78,0.95,2.22,2.52,2.65,3.84,3.12,0.14,2.73,0.39,2.88
August,3.76,2.69,2.44,,,1.17,2.76,3.10,2.39,1.74,1.95,,7.08,2.99,0.49,,,,,1.91,2.13,2.19,2.64,3.22,1.76,3.32,1.53,1.03,2.19,1.98,2.06,2.93,2.67,0.48,4.82,1.96,3.69,5.06,3.39,3.56,2.29,1.74,2.19,3.57,3.05,1.21,5.03,0.87,1.45
September,4.32,1.67,2.30,,,4.55,2.83,2.25,1.86,1.43,3.58,,1.77,3.18,4.86,,,,,4.28,1.47,2.36,1.89,1.99,1.39,0.93,2.26,0.81,0.68,0.51,3.90,2.95,0.50,2.27,0.29,1.08,0.97,3.79,1.67,2.31,1.00,0.79,1.56,1.73,0.25,1.70,1.03,1.35,0.67
October,2.16,2.06,2.04,,,1.23,3.75,2.69,1.53,4.24,1.88,,2.08,1.42,5.73,,,,,5.24,3.31,2.17,0.52,4.78,1.03,4.30,5.19,1.44,2.90,2.40,3.08,0.51,2.85,2.82,2.34,1.72,2.31,6.12,0.47,1.95,4.54,5.03,0.89,2.58,2.27,1.89,1.90,3.43,2.07
November,2.39,0.89,1.01,,,0.93,3.39,1.09,2.32,4.58,3.44,,4.09,1.27,2.27,,,,,2.77,2.24,1.66,3.28,0.91,2.91,3.15,1.22,2.28,2.02,2.90,1.00,1.79,1.94,1.32,2.27,2.17,1.54,2.14,0.77,2.43,2.51,2.10,1.14,0.27,2.36,2.02,2.08,1.83,1.99
December,1.84,2.03,5.58,,,1.09,3.31,0.18,2.02,1.14,5.35,,1.36,0.80,2.55,,,,,1.20,2.77,1.00,1.66,1.61,0.71,2.82,0.90,1.62,2.10,2.08,3.34,1.83,2.22,2.36,3.37,5.34,1.77,0.89,1.56,0.54,2.15,1.99,1.37,4.04,2.12,3.27,2.50,0.72,3.19
Total,27.48,24.31,20.68,,,23.38,35.40,21.19,19.07,24.44,28.95,,27.78,28.21,30.83,,,,,28.28,28.98,18.14,26.58,29.45,20.18,29.30,28.45,19.67,22.73,23.39,23.72,22.16,19.58,21.87,27.86,22.82,23.35,31.36,20.20,19.90,24.71,25.70,20.01,26.13,23.43,18.02,27.12,18.18,19.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_04_pt1/047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
