CROSSHILL-RES-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ279842,Long,-3.084572,Lat,53.349753,Elevation,237,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.05,2.53,3.73,1.48,4.06,2.66,2.5,1.42,1.53,1.4,4.51,1.87,3.09,4.8,2.28,2.38,4.45,3.59,3.42,1.86,3.05,2.06,5.71,,0.69,2.12,2.9,1.18,1.85,1.92,,,,,
February,,,,,,,2.52,1.16,2.13,0.83,0.28,2.63,0.08,3.04,0.28,2.24,2.24,4.77,0.38,2.3,2.27,2.48,1.22,1.88,1.24,2.42,3.61,1.01,1.39,,4.26,2.42,0.96,1.4,2.84,2.19,,,,,
March,,,,,,,0.93,2.89,1.22,0.14,3.55,0.24,1.72,2.26,1.65,0.76,1.42,1.49,0.95,1.76,2.45,3.22,2.18,0.64,0.76,0.72,0.98,4.21,0.48,2.04,1.34,5.23,1.43,1.1,2,1.94,,,,,
April,,,,,,,0.58,1.58,0.94,0.85,2.96,2.46,2.88,0.79,1.67,1.94,1.14,2.98,0.2,2.25,2.32,1.94,1.11,1.04,1.42,1.4,0.85,2.34,,2.41,3.13,1.17,1.54,2.36,0.76,1.58,,,,,
May,,,,,,,3.25,1.43,1.46,1.42,1.19,2.57,3.91,1.71,1.64,2.25,1.04,4.14,2.07,1.71,2.35,2.06,3.54,2.4,1.57,3.08,2.51,3.54,,2.56,0.82,3.45,1.83,2.18,2.96,3.18,,,,,
June,,,,,,,1.16,3.86,4.4,1.64,1.41,5.23,0.67,1.92,1.4,4.44,4.84,1.47,2.93,2.45,0.74,0.48,0.38,2.32,1.48,2.19,4.22,2.19,,0.87,1.92,1.07,2.15,2.21,3.58,3.55,,,,,
July,,,,,,,4.54,2.91,1.9,3.63,4.95,2.09,4.14,1.72,1.05,1.61,3.72,2.4,3.26,5.99,2.79,2.27,2.83,2.06,2.56,3.66,5.08,3.58,,2.37,1.77,1.52,1.68,2.33,3.54,0.55,,,,,
August,,,,,,,2.95,5.85,2.48,3.19,4.73,6.66,1.3,2.12,2.76,2.07,1.65,1.06,4.44,1.48,0.69,3.44,2.71,2.69,2.71,1.84,4.52,0.32,,1.96,6.06,4.04,2.33,2.7,3.62,1.37,,,,,
September,,,,,,,3.9,5.74,1.9,1.99,2.7,3.39,2.88,0.66,2.92,4.99,3.42,1.68,1.82,0.63,3.36,0.66,1.94,4.07,4.3,1.29,3.05,2.46,,0.77,4.47,2.26,4.82,3.35,2.4,2.27,,,,,
October,,,,,,,3.28,2.56,3.56,4.8,4.41,1.7,5.62,4.55,4.06,5.49,1.91,2.43,4.37,2.71,3.57,3.02,2.74,3.55,3.78,4.74,0.83,0.96,,3.09,1.85,1.25,3.23,1.24,5.08,2.21,,,,,
November,,,,,,,3.65,3.66,3.28,4.58,3.91,4.13,2.38,1.38,2.11,3.58,3.25,1.58,3.6,4.89,5.35,2.3,0.58,2.87,5.66,0.21,4.05,3.4,,4.18,4.04,5.97,2.69,3.05,5.54,1.43,,,,,
December,,,,,,,0.98,1.22,2.02,4.43,3.77,1.7,1.23,0.89,4.66,3.99,3.95,3.21,3.74,2.18,2.06,1.2,3.24,1.24,2.34,2.01,2.72,2.3,,3.96,2.89,3.5,3.6,1.46,4.01,3.21,,,,,
Total,,,,,,,29.79,35.39,29.02,28.98,37.92,35.46,29.31,22.46,25.73,34.76,33.09,29.08,30.85,33.15,30.23,25.45,26.92,28.35,31.24,25.42,35.47,28.37,,,33.24,34,29.16,24.56,38.18,25.4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11753 CROSSHILL RESR Start 1926 end 1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on top of reservoir as described on the record. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some duplicated readings between gauges but readings are very consistent so the duplications are probably not suspicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
