KENLEY-HAZELEA-(8-INCH-GAUGE),,,,,,,,,,,,,,,,
Grid ref,TQ324600,Long,-0.10121,Lat,51.32373,Elevation,282,ft,,,,,,,,
Station no,RR8066,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,5.11,0.97,4.85,1.04,1.65,1.04,2.23,1.28,2.37,,,,,,,
February,3.51,0.94,2.62,1.7,1.13,0.89,3.8,1.16,1.85,,,,,,,
March,1.93,3.61,1.26,0.94,2.95,3.38,1.44,2.02,2.85,,,,,,,
April,1.45,1.77,0.57,3.31,2.4,1.99,2.06,2.17,,,,,,,,
May,2.06,1.17,1.5,1.98,2.2,1.29,2.14,1.53,,,,,,,,
June,0.9,6.5,2.53,2.03,1.75,2.65,2.55,2.26,,,,,,,,
July,1.4,1.69,0.64,1.39,3.58,3.26,1.97,0.29,,,,,,,,
August,1.5,2.78,1.72,2.12,3.95,2.33,3.47,0.58,,,,,,,,
September,1.32,2.06,1.74,0.5,1.3,3.53,1.2,0.74,,,,,,,,
October,2.14,1.38,4.16,3.72,3.3,4.54,3.11,2.79,,,,,,,,
November,1.56,4.33,5.34,2.65,0.61,1.02,2.94,4.55,,,,,,,,
December,3.01,0.55,1.92,3.45,2.66,3.53,3.83,5.22,,,,,,,,
Total,25.89,27.75,28.85,24.83,27.48,29.45,30.74,24.59,,,,,,,,
,,,,,,,,,,,,,,,,
1904 New 8in gauge,,,,,,,,,,,,,,,,
