KENLEY-HAZELEA-(5-INCH-GAUGE),,,,,,,,,,,,,,
Grid ref,TQ324600,Long,-0.10121,Lat,51.32373,Elevation,282,ft,,,,,,
Station no,RR8066,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903
January,,,,,,2.23,0.86,2.43,0.78,3.16,3.98,1.1,0.93,2.6
February,,,,,,0.36,0.4,2.5,1.41,2.74,5.1,1.85,1.22,1.95
March,,,,,0.79,1.8,4,4.66,1.61,0.95,0.93,2.96,1.78,3.23
April,,,,,2.36,1.8,0.88,1.49,1.28,3,1.2,2.32,0.8,2.07
May,,,,,1.56,0.43,0.21,2.01,3.75,1.85,1.42,1.84,2.68,3.28
June,,,,,2.49,0.85,2.84,1.6,1.84,1.16,2.55,1.79,4.09,6.62
July,,,,,4.84,3.91,2.4,1.06,0.61,0.85,1.24,1.21,1.44,4.07
August,,,,,3.49,2.13,2.51,3.24,1.05,0.98,3.17,2.47,2.89,4.13
September,,,,,1.43,0.64,7.2,2.89,0.52,2.64,0.9,1.62,0.76,2.2
October,,,,,4.62,3.28,4.24,0.73,3.48,2.4,2.09,3.67,2.09,6.8
November,,,,,4.72,5.02,,1.45,4.44,4.82,2.64,0.57,2.4,2.67
December,,,,,2.07,2.92,,3.53,3.01,1.68,3.28,5,1.53,2.47
Total,,,,,,25.37,,27.59,23.78,26.23,28.5,26.4,22.61,42.09
,,,,,,,,,,,,,,
5 inch gauge,,,,,,,,,,,,,,
1904 New 8 inch gauge,,,,,,,,,,,,,,
