NOTTINGHAM-COLWICK-SUGAR-FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK617401,Long,-1.0830428,Lat,52.954737,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2604/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.23,1.91,4.2,2.55,3.13,2.71,3.86,2.4,1.46,1.73,1.55,3.64,1.17,0.97,2.03,1.57,0.85,1.39,2.31,3.2,1.34,2.66,2.84,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,3.41,0.54,0.69,2.53,1.69,0.5,0.42,1.76,1.94,2.23,1.71,0.93,0.65,4.47,2.83,0.47,1.67,2.44,1.76,0.61,2.03,2.69,0.18,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1.87,0.15,1.45,1.69,2.39,1.76,0.52,0.4,0.63,0.86,4.99,0.33,1.26,0.95,3.09,2.5,1,1.92,2.52,0.74,2.14,1.56,1.35,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.15,0.04,1.54,2.36,0.98,0.97,0.63,2.27,1.45,1.19,1.75,0.88,2.02,2.33,1.83,2,1.98,0.33,1.23,1.54,0.17,0.6,2.52,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,2.53,2.14,0.94,1.2,2.06,3.64,2.25,0.92,2.11,1.35,1.39,2.29,2.76,2.04,2.86,2.71,2,2.6,3.84,0.52,1.19,2.01,0.47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,0.44,1.31,1.22,1.04,0.46,0.53,1.12,1.38,1.83,2.67,1.05,1.76,0.67,1.22,1.27,2.29,3.08,3.11,3.26,3.28,1.84,5.03,1.02,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.42,2.35,4.25,2.02,3.66,2.43,0.31,1.66,1.72,1.67,1.41,1.06,3.03,1.97,1.04,0.34,1.98,2.08,1.12,2.83,1.8,3.83,1.68,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,0.17,2.18,2.4,0.2,4.06,1.61,1.52,2.95,1.4,4.4,0.14,3.86,1.9,2.85,5.4,1.5,2.04,3.78,0.45,4.42,3.11,2.8,0.57,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.01,1.76,0.46,0.34,0.21,0.91,2.04,2.55,1.61,3.07,1.08,2.79,1.3,2.72,1.15,1.49,1.39,2.48,0.74,1.69,5.16,2.05,0.03,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.79,2.21,2.39,3.73,1.63,1.84,1.68,1.94,2.58,1.19,0.21,1.75,4.54,0.56,0.91,2.57,2.62,3.01,1.51,1.23,1.1,1.98,1.98,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
