"NOTTINGHAM (COLWICK SUGAR FACTORY)",,,,,,,,,,,,
Grid ref,SK617341,Long,-1.084181,Lat,52.900808,,,,,,,
Station no,2604/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.03,1.57,0.85,1.39,2.31,3.20,1.34,2.66,2.84,4.42,,
February,2.83,0.47,1.67,2.44,1.76,0.61,2.03,2.69,0.18,1.66,,
March,3.09,2.50,1.00,1.92,2.52,0.74,2.14,1.56,1.35,1.67,,
April,1.83,2.00,1.98,0.33,1.23,1.54,0.17,0.60,2.52,0.85,,
May,2.86,2.71,2.00,2.60,3.84,0.52,1.19,2.01,0.47,1.00,,
June,1.27,2.29,3.08,3.11,3.26,3.28,1.84,5.03,1.02,1.63,,
July,1.04,0.34,1.98,2.08,1.12,2.83,1.80,3.83,1.68,3.03,,
August,5.40,1.50,2.04,3.78,0.45,4.42,3.11,2.80,0.57,3.78,,
September,1.15,1.49,1.39,2.48,0.74,1.69,5.16,2.05,0.03,3.99,,
October,0.91,2.57,2.62,3.01,1.51,1.23,1.10,1.98,1.98,5.12,,
November,4.60,1.87,1.48,4.24,1.17,0.66,1.98,1.24,1.93,2.81,,
December,1.66,2.22,0.89,1.91,1.63,1.90,2.25,2.87,2.72,3.31,,
Total,28.67,21.53,20.98,29.29,21.54,22.62,24.11,29.32,17.29,33.27,,
Calc annual,28.67,21.53,20.98,29.29,21.54,22.62,24.11,29.32,17.29,33.27,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
