"STRATHCONAN (BRIDGEND) NEW SITE",,,,,,,,,,,,
Grid ref,NH323551,Long,-4.804474,Lat,57.554797,,,,,,,
Station no,5771/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,4.22,5.15,,
February,,,,,,,,,1.82,3.73,,
March,,,,,,,,,2.34,0.74,,
April,,,,,,,,,5.24,4.15,,
May,,,,,,,,,1.60,1.47,,
June,,,,,,,,,2.99,2.87,,
July,,,,,,,,,5.82,3.06,,
August,,,,,,,,,3.07,7.65,,
September,,,,,,,,3.73,1.38,2.40,,
October,,,,,,,,7.09,5.69,4.25,,
November,,,,,,,,1.40,5.49,2.99,,
December,,,,,,,,5.32,4.94,5.68,,
Total,,,,,,,,,44.60,44.14,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.54,44.60,44.14,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
