STRATHCONAN (BRIDGEND) NEW SITE,,,,,,,,,,
Grid ref,NH323551,Long,-4.804474,Lat,57.554797,Elevation,400,ft,,
Station no,5771/3/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.22,5.15
February,,,,,,,,,1.82,3.73
March,,,,,,,,,2.34,0.74
April,,,,,,,,,5.24,4.15
May,,,,,,,,,1.6,1.47
June,,,,,,,,,2.99,2.87
July,,,,,,,,,5.82,3.06
August,,,,,,,,,3.07,7.65
September,,,,,,,,3.73,1.38,2.4
October,,,,,,,,7.09,5.69,4.25
November,,,,,,,,1.4,5.49,2.99
December,,,,,,,,5.32,4.94,5.68
Total,,,,,,,,,44.6,44.14
,,,,,,,,,,
Station no,5771/3/1,,,,,,,,,
Midas,14545,,,,,,,,,
Hyd stn,790309,,,,,,,,,
