HEATHFIELD-TOTTINGWORTH-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ6195022760,Long,0.305748,Lat,50.981474,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,0.91,3.59,4.19,0.84,1.23,2.99,5.59,1.53,4.97,1.08,2.04,1.1,3.87,1.57,2.98,5.27,1.11,4.15,1.63,1.67,3.85,6.13,3.95,3.38,4.61,1.62,2.9,4.49,4.95,3.02,6.87,1.45,4.84,2.84,4.19,2.7,3.71,0.93,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.65,2.58,6.66,2.29,1.83,1.74,3.54,0.74,2.98,1.85,1.47,0.43,3.85,1.74,2.94,1.18,4.26,5.31,5.45,0.99,1.23,2.7,0.69,0.8,2.77,4.53,1.18,4.67,2.94,4.4,2.01,0.93,1.54,2.71,0.47,2.88,0.24,4.73,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.52,1.06,1.5,2.24,1.55,3.08,1.47,4.37,1.9,1.02,2.93,4.51,1.8,3.47,4.84,2.57,6.58,0.8,4.52,1.79,1.17,4.51,2.35,2.24,2.35,2.43,2.05,1.13,0.5,4.99,2.54,0.15,1.8,0.56,1.85,3.57,3.31,0.94,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.14,0.98,3.03,1.47,2.68,1.04,2.8,1.41,2.15,1.48,3.49,2.33,1.84,1.94,1.77,0.17,4.03,1.38,1.92,1.84,2.21,3.01,3.22,3.18,1.67,3.64,3.54,3.64,3.33,4.14,2.18,2.73,1,2.12,3.84,3.02,1.31,2.65,4.05,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.67,4.05,1.38,1.12,0.89,2.21,3.14,3.14,1.06,2.22,2.82,1.41,1.33,2.87,1.16,1.16,1.07,1.2,4.42,2.22,1.87,1.48,0.46,1.52,2.61,0.88,4.39,4.93,4.05,3,0.73,1.79,2.54,2.96,2.34,2.66,1.55,0.68,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,2.39,1.95,1.38,2.45,0.98,2.66,3.5,1.62,4.39,2.34,2.84,1.17,2.48,3.08,2.56,3.31,1.33,1.3,1.07,2.9,2.85,1.11,0.77,1.58,0.01,1.93,0.51,2.08,0.22,3.93,7.2,4.06,1.65,1.07,1.94,1.72,2.03,1.48,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.5,0.33,0.87,1.39,1.79,1.17,4.83,1.19,0.96,0.43,1.62,3.96,2.73,2.52,0.23,1.83,3.16,1.57,5.62,0.86,3.69,4.57,2.04,5.48,0.46,3.38,2.45,4.6,5.21,2.6,3.65,1.61,1.87,3.42,4.15,4.63,2.88,2.53,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,3.41,1.61,1.08,2.2,2.05,4.93,5.09,1.53,2.87,1.21,2.03,4.06,3.28,2.42,0.84,8.87,1.62,0.98,1.89,3.58,7.53,1.68,4.13,1.7,1.05,3.36,2.5,5.28,2.3,2.52,5.81,1.62,2.9,4.31,6.13,0.6,1.54,2.69,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,3.81,1.11,3.89,1.54,1.33,0.69,2.87,1.8,3.05,1.75,1.04,1.6,3.68,0.27,1.79,3.54,2.32,1.47,3.01,1.73,1.74,6.44,1.81,4.09,0.84,2.92,3.27,3.61,3.28,0.93,5.53,0.48,1.04,4.26,2.19,3.27,4.24,2.21,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,0.25,3.33,3.23,2.53,2.55,3.12,7.94,2.63,2.65,4.94,7.31,1.92,8.73,3.99,6.83,4.39,5.55,2.6,3.24,6.46,5.34,3.63,0.7,2.2,0.86,1.62,7.26,6.39,5.3,2.75,3.71,9.15,4.69,2.48,0.92,8.91,2.04,2.34,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
