POLPERRO-TALLAND-HILL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX208510,Long,-4.5188,Lat,50.33178,Elevation,100,ft,,,,,,,,,,,,,
Station no,1925,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,6.06,6.97,3.38,5.98,4.02,3.18,2.16,3.71,1.3,5.5,4.59,,,
February,,,,,,,,2.96,3.59,2.44,2.16,3.26,0.11,3.49,0.15,3.82,4.75,8.13,,,
March,,,,,,,,4.14,4.78,0.55,4.17,3.31,2.06,3.63,3.65,1.56,4.51,4.48,,,
April,,,,,,,,2.51,2.11,1.41,2.67,2.57,3.48,2.03,2.92,4.25,2.38,3.45,,,
May,,,,,,,,0.75,1.12,3.44,2.72,3.29,4.48,1.36,1.26,2.78,0.78,2.5,,,
June,,,,,,,3.15,4.05,1.94,3.45,0.8,3.66,2.09,1.69,2.14,2.76,1,1.22,,,
July,,,,,,,0.99,3.41,1.78,2.26,3.61,5.12,4.42,1.5,0.52,0.46,6.66,1.82,,,
August,,,,,,,1.97,4.19,1.59,2.76,5.27,4.55,1.32,3.15,3.91,2.28,0.77,1.13,,,
September,,,,,,,0.41,6.68,1.9,0.55,5,1.38,4.51,2.23,3.35,4.25,2.07,2.56,,,
October,,,,,,,2.56,2.42,5.34,8.22,4.94,1.25,6.98,4.4,2.5,5.35,1.31,2.07,,,
November,,,,,,,7.31,4.05,4.07,10.54,6.24,6.46,2.42,1.41,1.41,6.32,3.09,2.19,,,
December,,,,,,,0.87,4.57,3.64,7.28,4.83,1.84,2.57,2.92,8.94,5.17,2.78,3.01,,,
Total,,,,,,,,45.79,38.83,46.28,48.39,40.71,37.62,29.97,34.46,40.3,35.6,37.15,,,
,,,,,,,,,,,,,,,,,,,,,
Higher Shute Cottage Talland Hill,,,,,,,,,,,,,,,,,,,,,
Very close to The Orchard but different elevation On steep hill,,,,,,,,,,,,,,,,,,,,,
1930 Jan 8-Feb 1 and June 14-30 Gauge moved 50yds W,,,,,,,,,,,,,,,,,,,,,
1931 Feb 13 Gauge moved 50yds W,,,,,,,,,,,,,,,,,,,,,
1937 Record terminated on death of observer,,,,,,,,,,,,,,,,,,,,,
