POLPERRO-TALLAND-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SX208510,Long,-4.5183,Lat,50.33209,Elevation,120,ft,,,,,,,,,,,,
Station no,RR6350,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,3.08,2.38,4.36,5.94,2.71,6.65,1.61,1.77,2.6,5.61,1.44,4.98,6.94,1.38,4.6,1.73,,,
February,,1.31,1.58,2.29,6.78,1.52,5.67,2.36,3.68,0.56,5.83,2.75,3.64,1.31,5.04,6.98,6.42,,,
March,,3.47,2.66,5.16,2.49,5.43,1.68,1.2,4.53,6.05,0.96,3.65,6.12,4.01,7.16,1.03,3.53,,,
April,,4.44,2.14,1.82,1.83,3.33,1.18,6.5,2.77,2.15,2.47,1.86,0.29,4.73,1.95,1.67,1.38,,,
May,,1.13,2.44,2.53,3.54,1.21,4.19,2.98,1.96,1.25,2.63,1.48,2.62,3.5,1.67,3.16,1.83,,,
June,,2.06,2.94,2.18,1.48,2.39,1.52,3.17,1.15,3.5,2.16,2.96,5.23,1.32,1.89,3.31,1.99,,,
July,,2.44,3.7,3.98,5.09,0.86,2.4,2.19,2.81,3.06,4.08,0.78,3.26,0.79,5.09,4.83,1.43,,,
August,,2,3.19,4.47,3.24,4.54,2.5,1.93,4.22,1.37,4.83,2.71,9.78,1.1,2.47,1.68,4.66,,,
September,,3.77,3.08,3.85,2.94,1.35,0.97,2.33,3.14,1.4,0.3,3.08,1.19,3.85,4.05,0.95,2.97,,,
October,,2.99,3.56,9.15,3.03,2.16,4.61,6.41,1.87,7.46,5.57,4.33,5.16,3.67,2.45,6.41,8.4,,,
November,,0.65,5.75,2.97,3.2,6.47,3.1,5.13,1.82,1.54,6.94,5.65,3.95,5.09,4.14,2.92,6.35,,,
December,,7.51,3.5,7.06,4.74,1.77,4.41,5.01,4.9,5.86,7.23,8.46,6.05,3.65,9.38,10.19,5.4,,,
Total,,34.85,36.92,49.82,44.3,33.74,38.88,40.82,34.62,36.8,48.61,39.15,52.27,39.96,46.67,47.73,46.09,,,
,,,,,,,,,,,,,,,,,,,,
Lived at The Orchard Talland Hill On steep hill,,,,,,,,,,,,,,,,,,,,
Noted now as most expensive house on hill,,,,,,,,,,,,,,,,,,,,
1914 July Sept Corrected by observer,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Rejected from survey as 4in low,,,,,,,,,,,,,,,,,,,,
