"BISHOPTON, DARGAVEL",,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 43252 69213,Long,-4.507996,Lat,55.890463,Elevation,33,ft,,,,,,,,,,,,,
Station no,5301,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,5.88,4.7,5.83,5.94,7.1,6.14,11.36,2.03,6.71,4.3,7.36,4.74,6.95,2.75,,,,,
February,,,4.99,5.58,0.67,4.14,5.48,2.85,5.3,2.62,0.3,4,0.05,3.8,0.67,5.35,,,,,
March,,,2.35,2.08,1,2.57,4.24,4.67,5.23,0.94,3.57,1.54,2.3,2.48,2.9,1.5,,,,,
April,,,2.97,3.81,2.26,4.97,2.41,2.55,1.85,1.15,1.44,1.99,4.43,2.29,3.22,3.74,,,,,
May,,,3.47,1.75,4.81,7.13,3.12,2.85,2.63,3.23,1.87,4.8,3.1,3.04,2.37,0.55,,,,,
June,,,1.7,1.23,2.3,0.58,2.5,4.41,5.32,2.9,2.42,5.1,1.44,2.17,2.42,3.97,,,,,
July,,,2.71,4.44,3.57,1.92,2.44,4.09,2.73,3.4,2.65,4.31,2.8,3.8,2.61,1.78,,,,,
August,,,2.6,5.74,3.17,4,3.21,5.8,4.51,6.35,5.56,2.33,2.18,2.85,3.92,2.01,,,,,
September,,,2.31,7.31,4.77,3.43,3.41,6.07,3.52,1.21,3.72,0.96,3.72,0.76,6.34,6.94,,,,,
October,,,2.3,5.64,3.6,3.85,7.84,5.93,7.84,6.7,6.68,3.37,6.26,2.9,6.92,10.13,,,,,
November,,,3.13,4.49,3.8,0.88,7.05,4.51,6.46,7.2,5.54,7.15,3.82,2.98,1.36,4.48,,,,,
December,,,4.76,3.45,8.45,3.9,2.7,1.7,5.88,11.15,3,4.65,9.08,0.99,5.36,2.94,,,,,
Total,,,39.17,50.22,44.23,43.31,51.5,51.57,62.63,48.88,43.46,44.5,46.54,32.8,45.04,46.14,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5301,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd stn,660185,,,,,,,,,,,,,,,,,,,,
