Rainfall at,FERRIBY SLUICE
,
Station no,2580,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.12,2.04,2.45,1.37,2.02,1.52,2.87,1.74,4.31,1.91,2.45,
February,1.48,0.24,2.91,3.78,0.87,2.65,1.35,1.41,1.58,0.64,0.45,
March,2.43,0.89,1.76,1.53,0.92,1.08,0.54,1.45,2.54,0.13,1.61,
April,3.68,1.07,1.50,1.73,1.40,2.28,1.71,2.70,0.96,0.67,2.13,
May,2.06,2.22,1.15,3.57,2.99,3.65,1.72,0.89,0.97,1.42,1.51,
June,2.28,0.05,1.08,0.63,1.99,0.03,3.80,2.74,2.53,1.28,2.37,
July,3.23,0.62,4.65,3.48,2.11,1.03,1.38,2.59,0.39,1.63,5.19,
August,0.85,2.48,1.71,2.58,2.29,2.42,2.52,3.67,3.74,1.84,3.36,
September,1.41,0.67,1.97,2.84,2.27,2.49,0.74,3.16,0.28,0.90,2.81,
October,1.19,1.19,1.26,1.56,3.72,2.22,3.44,1.56,3.84,2.67,1.87,
November,0.82,1.74,1.44,2.29,1.54,2.15,2.59,2.16,2.57,4.11,3.54,
December,2.30,1.87,2.58,3.10,2.08,2.11,0.81,2.58,1.80,4.24,1.67,
Total,23.85,15.08,24.46,28.46,24.20,23.63,23.47,26.65,25.51,21.44,28.96,
Calc annual,23.85,15.08,24.46,28.46,24.20,23.63,23.47,26.65,25.51,21.44,28.96,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
