COTTINGHAM WATERWORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA048342,Long,-0.411,Lat,53.794,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934
January,0.77,0.87,1.43,4.15,0.81,1.61,0.71,2.07,2.55,0.79,1.44,1.58,1.23,0.65,2.75,0.75,1.11,0.68,1.65,1.03,2.89,3.67,1.34,2.84,0.72,2.70,1.42,2.94,2.40,2.26,2.54,1.22,2.02,1.30,2.95,1.22,4.36,1.86,2.46,2.15,1.38,1.29,1.50
February,1.66,2.63,2.52,0.35,0.94,2.43,1.25,1.01,3.23,1.75,1.41,0.98,2.25,0.71,1.71,1.71,1.74,0.88,1.71,1.25,1.31,0.55,0.79,3.22,3.21,0.78,1.53,1.74,1.20,0.19,2.80,3.57,0.80,2.19,1.57,1.26,1.48,0.76,0.51,2.13,0.74,3.33,
March,0.98,0.48,0.98,1.85,2.11,2.81,1.32,1.04,0.47,1.81,1.43,2.17,1.50,2.30,1.63,1.30,2.21,3.20,0.61,1.78,2.68,2.33,1.76,0.83,3.21,1.58,0.87,2.46,2.16,1.05,1.48,1.33,1.14,1.07,0.34,1.28,2.74,0.08,1.87,0.48,1.82,2.20,2.34
April,1.59,0.29,1.31,1.15,1.19,1.56,2.60,2.35,1.09,1.38,1.08,1.65,1.16,1.87,0.84,1.17,2.35,1.71,1.48,1.34,0.12,1.73,0.36,0.55,1.03,1.51,1.36,1.53,3.96,0.93,1.76,1.38,1.35,1.93,1.48,2.29,0.77,1.13,2.11,3.01,2.80,0.99,3.04
May,2.75,1.19,1.37,0.57,0.58,1.44,2.01,3.07,1.44,0.52,2.07,2.96,1.51,0.50,1.52,2.74,0.98,1.17,2.07,0.58,3.04,2.73,1.49,1.83,2.42,1.37,1.97,1.00,2.69,2.13,0.94,3.74,2.98,2.26,1.70,0.91,1.00,1.10,1.65,2.73,4.72,1.78,0.87
June,4.12,1.21,4.05,2.33,2.43,1.92,1.87,1.26,1.93,1.49,2.64,1.40,0.94,0.89,1.31,4.60,0.80,3.75,1.56,3.50,4.22,0.75,0.96,0.22,2.53,1.30,0.34,0.68,1.00,0.25,0.98,0.37,1.94,0.03,3.83,2.76,3.20,1.49,1.52,4.52,0.37,2.07,1.26
July,1.56,2.20,3.10,6.10,1.04,0.23,0.39,1.84,1.45,1.00,2.06,2.89,3.57,2.09,1.22,1.37,2.33,3.66,2.61,0.75,4.92,0.28,2.86,5.08,2.45,1.33,2.48,2.18,3.83,0.54,5.48,2.14,3.29,2.08,1.79,2.42,0.70,1.54,4.55,3.21,2.18,1.13,1.80
August,2.47,2.19,2.46,3.12,2.29,3.02,3.04,0.50,4.40,4.23,1.79,2.72,3.10,2.95,1.15,2.23,1.71,5.09,3.05,2.57,4.40,0.62,1.84,2.47,3.09,6.25,2.99,2.42,1.58,3.05,2.88,2.60,2.18,1.60,2.34,5.66,4.30,2.00,2.65,3.21,1.23,0.32,2.22
September,0.92,1.51,0.74,0.84,3.74,3.76,0.42,2.65,1.18,0.84,0.61,2.87,1.12,1.20,0.54,0.67,2.00,1.23,0.25,3.15,1.80,1.02,1.22,0.88,0.70,0.86,4.24,1.41,1.42,0.55,2.45,2.91,2.34,2.83,0.63,3.41,0.21,0.55,2.81,3.21,1.85,2.86,2.11
October,5.10,1.41,4.42,3.73,5.87,1.47,3.52,2.50,2.85,1.68,2.45,5.75,0.96,1.62,4.26,3.82,0.89,2.81,2.55,2.23,3.13,3.08,2.16,0.94,2.92,3.13,1.14,4.07,1.26,1.17,1.58,1.26,3.41,2.22,3.58,1.68,4.11,1.93,1.95,1.24,3.17,6.15,1.73
